stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,79.07,1225.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0
  5-6,12.26,245.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,12.26,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,13.14,0,0,0,0,0,0,0,0
 10-12,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,22,1,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
 24-34,0,0,0.82,14.78,0,1.64,1.64,0,0,0.82,0,0.82,0,0.82,0.82,0,0,1.64,5.75,4.1,1.64,0,0,13.13,0,0,0,0,0.82,0
 36-46,0,0,0,9.67,0.81,0,4.03,0,1.61,0.81,0,0,2.42,0,2.42,0,0.81,1.61,4.03,8.06,0,0,0,21.75,0,0.81,0,0,0,0
 48-58,0,0,0,3.44,0,0,2.87,0,0,0,0.57,0,1.72,0,2.87,0,0.57,2.3,3.44,1.72,1.15,0,0,13.2,0.57,0.57,0,0,0,0
 60-70,0,0,0,5.89,0,0,9.82,0,0,1.96,0,0,0.98,0.98,17.67,0,0,0,8.83,7.85,0.98,0,0,7.85,0.98,0,0,0,0,0
 72-82,0,0,0,6.87,0,0,1.96,0,0,0.98,0,1.96,0.98,1.96,8.83,1.96,0,1.96,7.85,3.93,3.93,0,0.98,13.74,0,0,0.98,1.96,0,0.98
 84-94,0,0,1.06,23.36,0,2.12,4.25,1.06,1.06,4.25,0,3.19,1.06,0,6.37,1.06,0,0,3.19,6.37,4.25,0,0,55.23,0,0,0,0,0,0
 96-106,0,0,0,9.84,0,1.09,5.46,0,1.09,2.19,0,1.09,1.09,2.19,4.37,1.09,0,0,3.28,2.19,3.28,0,0,27.32,0,0,0,0,1.09,0
108-118,0,0,0,27.57,0,0.77,15.32,0,0.77,2.3,0,1.53,0.77,2.3,9.19,0.77,0,0,3.06,4.6,5.36,0,0.77,24.51,0,0,0.77,0,0,0
120,0,0,0,23.52,0,0,3.92,0,1.96,3.92,0,0,0,3.92,1.96,0,0,0,1.96,0,5.88,0,0,15.68,0,0,0,0,0,0
