stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.31,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,85.81,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,12.26,6.13,0,0,6.13,0,288.09,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,13.14,0,0,0,5.26,0,0,0,0,0,47.32,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,36.8,0,47.32,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,84.97,0,0,0,6.29,0,0,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0,40.91,0,0,0,18.88,0,25.18,0,0,15.73,0,0,0,0,0,0,0,0
 14-21,1,0,0,2,56,107,0,3,0,0,0,0,7,63,1,3,25,0,0,1,12,7,0,4,21,1,1,12,0,0,247,0,2,8,3,14,4,0,0,46,0,0
 24-34,0,0,0.82,4.1,22.98,12.31,0,5.75,0,0,0,0,0,20.52,6.57,3.28,62.39,0,4.1,0.82,12.31,23.8,0,5.75,61.56,1.64,4.1,32.83,0,0,462.96,0.82,0,18.06,0.82,0.82,6.57,0,0,175.66,0,0
 36-46,0,0,0,0.81,14.5,0.81,0,5.64,0,1.61,0,0.81,0,1.61,3.22,6.45,21.75,0,2.42,0,11.28,10.47,0,4.03,88.62,2.42,1.61,20.95,0,0,368.19,0.81,0,8.06,0,0,6.45,0,0,122.46,0,0.81
 48-58,0,0,0,0,15.49,2.87,0,8.03,0,4.59,0.57,1.15,0.57,1.15,4.59,0.57,12.05,0,4.02,0,13.2,16.07,0,1.72,55.66,2.3,0,32.13,0,0,458.47,0,0,2.87,0,0,6.31,0,0,84.92,0,0
 60-70,0,0,0,0,27.48,3.93,0,12.76,0,5.89,0,0,0.98,0.98,5.89,7.85,9.82,0,9.82,0,94.23,10.8,0.98,0,22.58,2.94,0.98,42.21,0,0.98,304.27,0,0,4.91,0,0,3.93,3.93,0,81.47,0.98,0
 72-82,0,0,4.91,0,46.14,4.91,0,16.69,0,3.93,0.98,2.94,12.76,1.96,10.8,5.89,24.54,0.98,18.65,0,258.18,20.61,0,1.96,46.14,0,0,75.59,0,0,321,0,0,6.87,0,0,0.98,3.93,1.96,135.47,0,0
 84-94,0,0,1.06,0,150.81,3.19,0,12.74,1.06,13.81,1.06,3.19,24.43,4.25,4.25,6.37,44.61,0,18.05,0,199.66,22.3,0,3.19,35.05,0,0,90.27,0,0,934.59,0,0,20.18,0,0,1.06,28.68,1.06,134.88,0,0
 96-106,0,0,0,1.09,216.38,6.56,0,13.11,1.09,19.67,1.09,3.28,61.2,0,7.65,14.21,42.62,0,30.6,4.37,172.67,32.79,2.19,0,39.34,0,0,127.86,0,0,911.43,0,0,25.14,0,0,1.09,38.25,0,162.83,0,0
108-118,0,0,1.53,0,223.66,1.53,0.77,11.49,0,19.92,0,3.83,55.15,0,3.83,13.79,45.96,0,28.34,2.3,105.7,31.4,0.77,0,32.17,3.06,0,94.98,0,0,922.22,0,0,19.15,0,0,0,48.26,0,109.53,3.06,0
120,0,0,0,0,123.47,3.92,0,7.84,0,17.64,0,0,17.64,1.96,1.96,5.88,23.52,0,3.92,0,90.15,17.64,0,5.88,33.32,0,3.92,88.19,0,0,450.75,0,0,17.64,0,0,0,19.6,0,80.35,0,0
