stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,melanocytes,mesenchyme,mural_cell,muscle,neural,otic,pericytes,somites,spinal_cord,vasculature,visceral_smooth_muscle
 14-21,1,1,0,0,1,0,0,0,0,0,0,2,0,0,1,1,0,0
 24-34,0,0,0,0,0,0,0,0.82,1.64,0,0,3.28,0,0,0,0.82,0,0
 36-46,0,0,0.81,0,0,0,0.81,0,0,0,0,8.86,0,0,0,0.81,0,0
 48-58,0,0,0.57,0,1.15,0,1.72,0,1.15,0,0,2.3,0,0,0,1.15,0,0
 60-70,0,0,0,0,1.96,0,1.96,0,0,0,0.98,6.87,0,0,0,2.94,0,0
 72-82,0,0,0,0.98,0.98,0,0,0,3.93,0,0,0.98,0.98,0,0,0.98,0,0
 84-94,0,0,0,0,1.06,0,0,0,3.19,0,0,1.06,0,0,0,0,0,0
 96-106,1.09,0,0,0,1.09,0,0,0,3.28,0,1.09,0,0,0,0,1.09,1.09,1.09
108-118,0,0,0,0,0,0.77,0,0,3.06,0.77,0.77,2.3,0.77,0.77,0,0,0.77,0
120,0,0,1.96,0,0,1.96,1.96,0,1.96,1.96,0,1.96,0,0,0,0,0,0
