stage,blastomeres,epidermis,eye,glial,ionocyte,lateral_line,neural,notochord,otic,periderm,pronephros,spinal_cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,22.03,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,1,0,0
 24-34,0,0.82,0,0,0,0,0.82,0,0,1.64,0,0
 36-46,0,0,0,0,0,0,0.81,0,0,0.81,1.61,0
 48-58,0,0,0.57,0,0,0,0.57,0,0.57,1.15,0,1.15
 60-70,0,0,3.93,0,0,0,0.98,0,1.96,0.98,0,0.98
 72-82,0,0,1.96,0,0.98,0,0,0,5.89,0,0,0
 84-94,0,1.06,1.06,0,0,1.06,2.12,0,10.62,4.25,0,0
 96-106,0,0,0,1.09,0,0,0,0,10.93,2.19,0,0
108-118,0,0,0,0,0,0,0,0,8.43,2.3,0,0
120,0,1.96,1.96,0,0,0,0,0,7.84,0,0,0
