stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,8,0,0,7,0,0,2,0,1,2,0,0,0
 24-34,0,0,0,1.64,0,0,7.39,0,4.1,0,0,0,0,0,0,0.82,0,1.64,36.12,0,0.82,16.42,0,0,13.13,0.82,0,4.93,0.82,0,0
 36-46,0,0,0,0,0,0,5.64,0,8.06,0,0,0,0,1.61,0,0,0.81,0,18.53,0,0,11.28,0,0,6.45,0,0,4.03,0,0,0
 48-58,0,0,0,0,0,0,4.59,0,33.85,0,0,0,0,1.15,0,4.02,0,0,23.53,0,0,14.92,0,0,6.31,0,0,15.49,0,0,0
 60-70,0,0,0,0.98,0,0,4.91,0,81.47,0,0,0.98,0.98,0,0,10.8,0,0,12.76,0,0,11.78,0,0,5.89,0,0,3.93,0,0,0.98
 72-82,0,0,0,1.96,0,0,17.67,0,182.59,0.98,0.98,0,0,2.94,0,34.36,0.98,0.98,12.76,0,0,35.34,0,0.98,13.74,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,12.74,0,107.27,5.31,0,0,0,1.06,4.25,30.8,0,0,13.81,0,1.06,38.23,0,0,18.05,0,0,1.06,0,1.06,0
 96-106,0,0,0,5.46,2.19,0,12.02,1.09,109.28,6.56,2.19,1.09,0,5.46,20.76,39.34,0,1.09,21.86,1.09,0,52.46,0,1.09,31.69,0,0,0,1.09,1.09,0
108-118,0,0,0,2.3,0.77,0.77,9.19,0.77,101.87,12.26,0,0,0,0,13.02,42.89,0,2.3,19.92,0,0.77,42.13,0,0,14.55,0,0,0,1.53,0,0.77
120,1.96,0,0,7.84,0,0,9.8,0,76.43,21.56,0,0,0,1.96,13.72,27.44,0,1.96,21.56,1.96,0,31.36,0,0,9.8,0,0,0,0,0,0
