stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,6,0,0,0,0,0,0,1,38,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.31,0,0,2.46,2.46,0,0,0,0,0,0,0,3.28,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,9.67,0.81,0,0,0,0,0,0,0,0,29.81,0,0,4.03,5.64,0,0,0,0,0,0,0,1.61,0,0,0,0,0
 48-58,0,0,0.57,0,0,1.72,0,0.57,57.95,3.44,0,0.57,0.57,0,0,0,0.57,0.57,33.85,0,0,6.89,18.36,0,0,0,0,0.57,0,0,2.87,0,0,0,0,0
 60-70,0,0,1.96,0,0,3.93,0,4.91,109.93,0.98,0,0,0,0,0,0,0,0,106,0,0,4.91,11.78,0,0.98,0,0,0.98,0,0,2.94,0,0,0,0,0
 72-82,0,0,9.82,2.94,0,49.08,0,8.83,211.06,11.78,1.96,0,0,0.98,0,0.98,0,0,456.47,0,1.96,23.56,54.97,0,0.98,0,0,4.91,0,0,1.96,0.98,0.98,3.93,0.98,0.98
 84-94,0,0,2.12,0,0,60.54,0,7.43,147.62,12.74,1.06,0,0,0,1.06,1.06,0,0,352.6,0,1.06,12.74,21.24,0,0,0,0,1.06,0,0,2.12,3.19,1.06,2.12,0,0
 96-106,1.09,1.09,32.79,8.74,4.37,123.49,0,10.93,167.21,15.3,3.28,3.28,15.3,1.09,2.19,1.09,7.65,0,851.33,1.09,5.46,25.14,108.19,0,2.19,0,1.09,18.58,1.09,0,1.09,1.09,2.19,6.56,4.37,1.09
108-118,0,0,3.83,3.83,2.3,47.49,0.77,12.26,160.85,13.02,1.53,0.77,6.89,1.53,0.77,0,3.83,1.53,1075.41,0.77,1.53,32.17,80.43,0.77,1.53,0.77,1.53,6.89,0,0,2.3,0,1.53,2.3,0.77,0.77
120,0,0,13.72,0,3.92,45.08,0,0,197.94,11.76,1.96,1.96,13.72,0,0,0,5.88,0,1189.59,0,1.96,41.16,74.47,1.96,0,0,1.96,3.92,0,0,0,0,0,3.92,1.96,1.96
