stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,91.94,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,18.39,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,23.66,0,0,13.14,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.8,21.03,0,0,110.41,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,3.15,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,2,4,28,0,0,46,0,0,0,0,0,0,0,0,0,5,0,2,160,1,0,0,0,0,3,52,0,3,97,0,0,0,0
 24-34,0,0,0,0,9.03,0,69.77,0,0.82,57.46,0,0,0.82,0,3.28,0,0,0,0,1.64,0.82,0.82,355.43,0,8.21,0.82,0,0.82,0,29.55,0.82,2.46,106.71,0,0,0,0
 36-46,0,0,0,0,5.64,0.81,49.15,0,0,31.42,0.81,0,0,0,0,0,0,0,0,3.22,0,1.61,270.7,0.81,12.09,0,0,0,0,12.09,0,0,51.56,0,0.81,0,0
 48-58,0,0,0,0,5.16,0,63.69,0.57,0,38.44,0,0,0,0,0,0,1.72,0.57,0,1.15,0,0.57,144.6,0,12.05,0.57,0,0,0,3.44,0,0,42.46,0,0,0,0.57
 60-70,0,0,0,0,0,0,60.85,0,0.98,40.24,0,0,0.98,0,0,0,2.94,0,0,0,0,0,98.15,0,18.65,0.98,0,0.98,0,2.94,0,0,20.61,0,0,0,0
 72-82,0,0,0.98,0,1.96,0,65.77,0.98,0,39.27,0,0,0,0,0,0.98,3.93,0,0,1.96,0,0,70.68,0,35.34,7.85,0,0,0,1.96,0,0,10.8,0,0,0.98,0
 84-94,0,0,1.06,0,3.19,0,45.67,0,0,23.36,0,0,0,1.06,0,0,2.12,0,0,4.25,1.06,0,52.04,0,18.05,8.5,0,0,0,4.25,0,0,8.5,0,0,0,0
 96-106,0,0,0,0,3.28,0,39.34,0,0,39.34,0,0,0,0,0,0,10.93,0,0,3.28,0,0,42.62,0,46.99,13.11,0,0,0,1.09,0,0,10.93,0,0,0,0
108-118,0,0,0,1.53,1.53,0,31.4,0,0,35.23,0,0,1.53,0,0,0,2.3,0.77,0.77,1.53,0,0,51.32,0,29.11,6.89,0,0,0,6.13,0,0,7.66,0.77,0,0,0
120,0,0,0,0,7.84,0,29.4,0,0,17.64,0,0,0,0,0,0,5.88,0,0,0,0,3.92,47.03,0,17.64,5.88,0,0,0,7.84,0,0,0,0,0,0,0
