stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,128.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,0,0,0,0
  7-9,0,2.63,2.63,0,0,5.26,0,0,0,0,5.26,0,0,0,0,0,0,0,0,49.95,2.63,0,23.66,5.26,0,0,0,0,0,0
 10-12,0,0,12.59,0,0,6.29,0,0,0,0,3.15,0,0,0,0,0,0,0,0,226.58,12.59,0,75.53,3.15,0,3.15,0,0,0,0
 14-21,0,0,0,6,2,0,0,0,1,0,0,0,0,0,0,1,0,0,2,10,0,0,0,2,1,0,0,1,3,0
 24-34,0,0,0,1.64,0,2.46,0,0,0.82,0,0,0,0.82,0,0,1.64,0,0,0.82,18.06,0,0.82,0,4.93,0,0,0,0,5.75,2.46
 36-46,0,0,0,0,0,0.81,0,0,1.61,0,0,0,0,0,0.81,2.42,0,0,2.42,8.06,0,0,0,7.25,0,0,0,0,0,0
 48-58,0,0,0,0.57,0,6.89,0,1.15,1.15,0,0,0.57,0,0,0,4.59,0,0,1.72,27.54,0,0.57,0,4.02,0,0,0.57,0,4.02,0.57
 60-70,0,0,0,1.96,0,2.94,0,0.98,0,0.98,0,0,0,0.98,0,6.87,0,0.98,0.98,6.87,0,0,0,10.8,0,0,0,0,0,0
 72-82,0,0,0,0.98,0.98,2.94,0,0,0,0,0,0,0,0,0,7.85,0,0,0.98,3.93,0,1.96,0,6.87,0,0,0,0,0.98,1.96
 84-94,0,0,0,1.06,0,0,0,1.06,0,0,0,3.19,1.06,0,0,1.06,1.06,0,2.12,1.06,1.06,0,0,20.18,0,1.06,0,0,2.12,0
 96-106,0,0,0,1.09,0,0,1.09,0,0,1.09,0,1.09,0,0,0,1.09,1.09,0,0,1.09,0,0,0,29.51,0,0,0,0,0,2.19
108-118,0,0,0,2.3,0.77,2.3,0.77,0,0.77,0,0,0,0.77,0,0,2.3,0.77,0,1.53,3.06,0,0,0,10.72,0,0,1.53,0,0,0.77
120,0,0,0,9.8,0,3.92,0,0,0,1.96,0,7.84,1.96,0,0,13.72,1.96,0,1.96,17.64,0,1.96,0,25.48,0,0,0,0,0,3.92
