stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,glial,gut,ionocyte,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,somites,spinal_cord,taste,xanthophores
  3-4,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,7,0,0,0,1,1,0,0
 24-34,0,0.82,0,0,3.28,0,0,0,0,0,9.85,0,0,0,0,5.75,0,0
 36-46,0,0,0,0,0.81,0,0,0,0,0.81,25.78,0,0,0,0,6.45,0,0
 48-58,0,0,0,0,3.44,0.57,0,0,0.57,0.57,43.61,0,0,0,0,11.48,0,0
 60-70,0,0,0,0,6.87,1.96,0,0,0.98,1.96,93.24,0,0,0,0,11.78,0,0
 72-82,0,0,0,0,15.71,2.94,0,0,0,1.96,93.26,0.98,0.98,0,0,2.94,0,0
 84-94,0,0,0,0,8.5,0,0,0,1.06,3.19,47.79,0,1.06,0,0,2.12,0,0
 96-106,0,1.09,0,1.09,7.65,3.28,0,1.09,2.19,1.09,38.25,0,3.28,0,0,6.56,2.19,1.09
108-118,0,0.77,0,0,9.96,1.53,0,0,1.53,1.53,44.43,0,1.53,0,0,1.53,0,0
120,0,0,0,0,0,7.84,1.96,0,0,5.88,47.03,0,0,0,0,3.92,0,0
