stage,blastomeres,epidermis,eye,fin_mesenchyme,heart,immune,iridophores,liver,melanocytes,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,1,1,0,0
 24-34,0,0.82,1.64,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,1.64,0
 36-46,0,0.81,0,0,0.81,0,0,0,0.81,0,0.81,0,0,0,0,0,0,0,1.61,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0,0,1.72,0
 60-70,0,0,2.94,0,0,0,0,0,0,0.98,0,3.93,0,0,0,0,0,0,1.96,0
 72-82,0,0,1.96,0,0,0,0,0,0,0.98,0,2.94,0,0,0,0,0,0,0,0
 84-94,0,0,1.06,0,0,0,0,0,0,1.06,0,1.06,0,0,0,0,0,0,0,0
 96-106,0,1.09,0,0,0,2.19,0,0,0,1.09,0,2.19,1.09,0,3.28,0,0,0,0,1.09
108-118,0,0,2.3,0.77,0,0.77,0.77,0.77,0,0,0,2.3,0,0,0.77,0,0,0,0,0
120,0,0,0,0,0,1.96,0,0,0,0,1.96,3.92,0,0,0,0,0,0,0,0
