stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,276.74,3465.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.67,0,0,0,0,0,0,0,0,0,0
  5-6,140.98,1054.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.91,0,0,0,12.26,0,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,5.26,0,0,0,2.63,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,60.46,7.89,0,0,31.54,0,7.89,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,25.18,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,371.34,28.32,0,0,28.32,0,15.73,0,3.15,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,12,345,2,0,6,3,0,4,6,3,0,0,14,0,0,0,0,6,2,0,3,37,48,3,12,2,0,22,2,1,0,0,35,0,0,1,0,0
 24-34,0,0,0.82,13.13,210.14,0,0,8.21,22.98,0,2.46,8.21,0,0.82,0,24.63,0.82,9.03,1.64,0,8.21,2.46,0,2.46,44.33,32.01,17.24,13.95,0,0,86.19,0,4.93,0,0.82,20.52,0,0,4.1,0,1.64
 36-46,0,0,0,0,89.43,0,0,4.03,16.92,1.61,0,4.83,0,2.42,0,4.03,0,8.06,2.42,0,16.11,6.45,0,0,37.87,17.72,15.31,8.86,0,0,87.82,0.81,3.22,0,0,12.09,0,0,1.61,0,1.61
 48-58,0,0,0,0.57,63.12,0,0,13.77,28.12,1.15,3.44,5.74,0,0.57,0.57,2.87,0,11.48,1.15,0,17.79,9.75,1.15,2.3,25.25,7.46,7.46,9.75,0,0.57,48.2,0,1.15,0,0,8.61,0,0,1.15,0,0
 60-70,0,0,1.96,0,89.32,0,0,23.56,26.5,0,11.78,5.89,0,2.94,1.96,2.94,0,4.91,3.93,0.98,34.35,8.83,0.98,1.96,25.52,8.83,11.78,15.7,0,0,64.78,0,0.98,0,0,0.98,2.94,0,3.93,0,0.98
 72-82,0,0,7.85,0.98,163.94,0.98,0,29.45,31.41,0,20.61,37.3,1.96,0,3.93,7.85,0,28.47,2.94,0,67.73,15.71,2.94,6.87,44.17,8.83,16.69,34.36,0,0.98,95.22,0,0.98,0.98,0,14.72,10.8,0,5.89,0,1.96
 84-94,1.06,0,5.31,0,233.65,0,1.06,31.86,59.47,0,5.31,39.3,1.06,0,3.19,21.24,1.06,26.55,4.25,1.06,25.49,11.68,2.12,3.19,20.18,13.81,19.12,20.18,0,0,240.02,0,0,0,0,1.06,9.56,2.12,0,1.06,1.06
 96-106,0,0,8.74,1.09,263.38,1.09,3.28,30.6,68.85,0,14.21,62.29,0,2.19,3.28,20.76,0,36.06,8.74,0,48.09,13.11,2.19,7.65,39.34,16.39,39.34,41.53,0,0,224.03,1.09,5.46,0,0,3.28,26.23,0,3.28,1.09,0
108-118,0,0,5.36,1.53,288,0,2.3,39.83,88.85,0.77,7.66,42.13,0,0.77,4.6,19.92,0,24.51,7.66,2.3,41.36,10.72,1.53,2.3,35.23,19.92,19.92,28.34,0,0.77,204.51,0,1.53,0,0,0.77,25.28,0.77,1.53,0,2.3
120,0,0,5.88,1.96,225.38,0,0,9.8,56.83,0,3.92,37.24,0,3.92,0,11.76,0,5.88,1.96,0,13.72,9.8,0,1.96,48.99,17.64,19.6,27.44,0,0,176.38,0,3.92,0,0,0,7.84,0,0,0,3.92
