stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,147.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38,0,0,0,0,0,0,1,1,25,0,0,0,0,0
 24-34,0,0,0,0,0,3.28,0,0,0,0,0,0,0,0,0,0,0,0.82,139.55,0,4.1,0,0,0,0.82,0,0,41.86,0,0,0.82,0,0
 36-46,0,0,0,0,0,6.45,0,0,1.61,0,0,0,0,0,0,5.64,0,0.81,555.91,0,8.86,0,0,0,0.81,0,0,109.57,0,0,1.61,0,0
 48-58,0,0,1.72,0,0,33.85,0.57,0,7.46,0,0,0,0,0,0,3.44,1.72,0,431.5,0,5.16,0.57,0,0,0,0,0,91.81,0,0,0.57,0,0
 60-70,0,0,1.96,0,0,117.78,0.98,0.98,7.85,0,0,0,0,0.98,0.98,2.94,0,0,680.19,1.96,3.93,0,0,0.98,0.98,0,0,135.45,0,0.98,0,0,0
 72-82,0,0,3.93,0.98,0,137.43,0,0,21.6,0,0,0,0,0,0,4.91,0,1.96,556.6,0,9.82,0.98,0,0,0.98,0,0,39.27,0,0,0.98,0.98,0.98
 84-94,0,0,3.19,0,0,97.71,0,0,23.36,1.06,0,0,0,0,0,5.31,0,0,353.66,0,2.12,0,0,0,0,0,0,45.67,0,1.06,2.12,1.06,0
 96-106,0,0,1.09,2.19,0,72.13,0,0,22.95,1.09,1.09,1.09,1.09,1.09,0,5.46,1.09,1.09,241.52,0,6.56,0,0,0,1.09,0,0,15.3,0,0,0,1.09,0
108-118,0,0,3.83,0,0,72,0,0,30.64,0,0,0,0.77,0,0.77,6.13,0.77,0.77,319.41,0,3.06,4.6,0,0,0.77,0,0,12.26,0.77,0,0,0,0
120,0,0,1.96,1.96,1.96,39.2,0,0,23.52,0,1.96,0,0,0,0,11.76,0,0,337.08,0,0,0,0,0,0,0,0,7.84,1.96,0,0,0,0
