stage,axial,blastomeres,endoderm,epidermis,exocrine_pancreas,eye,glial,hatching_gland,heart,iridophores,liver,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,pgc,presomitic_mesoderm,somites,spinal_cord,taste
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,5.26,0,2.63,0,0,0,0,0,26.29,0,13.14,0,0,0,0,0
 10-12,0,0,0,0,0,6.29,0,0,0,0,0,0,0,22.03,3.15,9.44,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,2,1,1,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0.81,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0.98,0,0,0,0,0,0.98,0,0,0.98,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.98,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,1.09,1.09,1.09,0,0,1.09,0,0,1.09,0,0,0,0,0,0,0,1.09
108-118,0,0,0.77,0.77,1.53,0.77,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0
