stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,3.15,0,0,0,0,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,1,2,2,0,1,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,4,1,3,9,0,0,0,0
 24-34,0,0,0,0,2.46,0,0,2.46,0,0,0,0.82,11.49,0,0,0,0,0,0,0.82,0,0,0,37.76,0,0,0.82,0,1.64,5.75,0,0,16.42,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,0.81,0,0,0,4.83,0.81,0,0,0,0,0,0,0.81,0,0,1.61,70.9,0,0,1.61,0,1.61,0,0.81,0,7.25,0,0,0,0
 48-58,0,0,0,0,1.72,0,0,4.59,0,0,0,18.36,0,0,0,0,0,0,0,0,0,0.57,1.15,69.43,0,0,0.57,0,2.87,1.15,0,0,9.75,0,0,0,0
 60-70,0,0,0,0,0.98,0,0,14.72,0,0,0,6.87,0,0,0,0,0,0,0,7.85,0,0,0,161.95,0,0,1.96,0,0.98,0.98,0,0,16.69,0,0,0,0
 72-82,0,0,0.98,0,3.93,0,0,42.21,0.98,0,0,5.89,0.98,0,0,0,0.98,0,2.94,20.61,0,0.98,0,304.32,0,1.96,4.91,0,0.98,0.98,0,0,34.36,0.98,0.98,1.96,0.98
 84-94,0,0,0,0,3.19,1.06,0,23.36,0,0,0,5.31,0,0,1.06,1.06,0,0,0,6.37,0,2.12,0,177.36,1.06,0,3.19,0,4.25,3.19,0,0,9.56,3.19,0,0,0
 96-106,0,0,0,1.09,3.28,1.09,0,42.62,0,0,0,7.65,1.09,0,0,1.09,0,0,0,16.39,0,0,0,161.74,0,0,5.46,0,6.56,0,0,0,8.74,6.56,1.09,1.09,0
108-118,0,0,0,0.77,3.83,0,0.77,29.11,0.77,0.77,0.77,11.49,0,0.77,0,0,0,0,0,6.89,0,6.13,0,214.47,0,0,6.13,0,0.77,0.77,0.77,0,4.6,2.3,0.77,0.77,0.77
120,0,0,0,0,1.96,1.96,0,35.28,0,0,0,9.8,1.96,0,0,1.96,0,1.96,0,9.8,0,9.8,0,274.37,0,0,0,0,3.92,1.96,0,0,11.76,0,0,0,0
