stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,869.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,1017.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,18.39,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,10.51,0,15.77,0,2.63,0,26.29,0,0,0,0,26.29,0,0,0,0,0,0,0,0,0,0,0,310.19,13.14,0,0,73.6,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,18.88,0,3.15,0,40.91,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,217.14,0,0,0,91.26,0,3.15,3.15,12.59,0,0,0,0,0,0,0,0
 14-21,0,0,1,4,45,6,0,11,0,0,2,2,0,0,1,0,0,0,0,2,15,0,0,6,116,0,0,1,2,0,1,23,2,0,34,25,0,0,0,0,0
 24-34,0,0,0,0,2.46,0,0,4.1,0,0,0.82,1.64,0,0,0,0,0,0,0,0,9.85,0,0,4.93,77.16,0,0,1.64,0,0,5.75,0,0,0.82,1.64,15.6,0,0,3.28,0,0
 36-46,0,0,0,0,0.81,0,0,4.83,0,0,2.42,0,0,0,1.61,0,0,0,0,1.61,10.47,0,0,0.81,33.03,0,0.81,0,0,0,5.64,0,0,0,0,16.11,0,0,0.81,0,0.81
 48-58,0,0,0,0.57,0.57,0,0,16.64,0,1.15,5.74,0,0,0,1.15,0,0,0.57,0,1.15,14.92,0,0.57,3.44,53.94,0.57,0,1.15,0,0,0.57,0,0,0,0,5.74,0,0,2.87,0,2.3
 60-70,0,0,0,0,1.96,0,0,27.48,0,0,8.83,0,0,0.98,0,0,0,0,0,0.98,8.83,0,0,0,102.08,0,1.96,0,0,0,1.96,0,0.98,0,0,14.72,0,0,0.98,0,0
 72-82,0,0,0,0,5.89,0,0,43.19,0.98,0.98,19.63,2.94,0,0,2.94,0,0,1.96,0.98,0.98,16.69,0.98,1.96,3.93,134.49,0,0,4.91,0,0,16.69,0,2.94,0,0,13.74,0,0.98,2.94,0,1.96
 84-94,0,0,0,0,6.37,0,0,24.43,1.06,0,10.62,3.19,0,1.06,2.12,1.06,0,0,0,0,11.68,0,0,3.19,62.66,1.06,0,0,0,0,45.67,0,8.5,0,0,4.25,0,0,2.12,0,1.06
 96-106,0,0,0,0,15.3,0,0,31.69,0,0,17.49,3.28,0,0,7.65,3.28,1.09,1.09,0,1.09,10.93,0,0,3.28,43.71,1.09,0,2.19,0,0,63.39,0,5.46,0,0,3.28,1.09,0,5.46,2.19,6.56
108-118,0,0,0.77,0,21.45,0.77,0.77,14.55,4.6,0.77,9.96,1.53,0,0,4.6,1.53,0,0.77,3.06,1.53,12.26,0.77,0,3.83,50.55,0,0.77,3.06,0,0,68.94,0,9.19,0.77,0,1.53,0.77,0,4.6,0,6.13
120,0,0,0,0,13.72,0,0,7.84,1.96,1.96,3.92,0,0,0,3.92,0,0,0,0,0,5.88,0,1.96,3.92,54.87,0,0,1.96,0,1.96,80.35,0,7.84,0,0,3.92,0,1.96,3.92,0,3.92
