stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,39.43,0,0,0,13.14,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,9.44,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,47.2,9.44,0,0,12.59,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,9,2,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,2,0,3,33,1,0,0,0,0,4,0,2,0,1,9,12,0,0,0,0,0
 24-34,0,0,0,0,0.82,0.82,0,11.49,0,0,0,0.82,0,0,0,1.64,1.64,0.82,0,0,1.64,2.46,0.82,2.46,128.05,0,3.28,1.64,0,0,7.39,0,0,0,0,4.93,20.52,0,0,3.28,0,0.82
 36-46,0,0,0,0,2.42,0.81,0,20.14,0.81,0,0,7.25,0,0,0,1.61,0,0,0,0,0.81,8.06,0,0.81,173.22,0.81,5.64,0.81,0,0,4.83,0,0,0,0,0,32.23,0,0,2.42,0,4.03
 48-58,0,0,0,0,1.72,1.72,0,118.78,1.15,0,0.57,17.21,0,0,0.57,0,0,1.15,2.3,0,1.15,22.38,0,1.15,316.17,0,4.02,2.87,0,0,10.33,0,0,0,0.57,0,51.07,0,0,5.16,0,4.02
 60-70,0,0,0.98,0,4.91,0,0,120.73,0,1.96,0,11.78,0.98,0,0.98,1.96,0,1.96,0.98,0.98,0,20.61,0,1.96,216.92,0.98,3.93,0.98,0,0,6.87,0,0,0,0,0,23.56,0,0,1.96,0,0.98
 72-82,0,0,2.94,0,1.96,0,0,180.63,0.98,0,2.94,28.47,0.98,0,0,0.98,0.98,2.94,1.96,0.98,0,28.47,0,0.98,205.17,0,6.87,1.96,0,1.96,10.8,0,0,0.98,0,0,11.78,2.94,0,5.89,0.98,0.98
 84-94,0,0,1.06,0,6.37,2.12,0,124.26,0,0,1.06,13.81,6.37,0,0,3.19,1.06,6.37,0,0,1.06,15.93,1.06,6.37,109.39,0,1.06,5.31,0,0,13.81,0,0,0,0,0,8.5,2.12,1.06,0,2.12,0
 96-106,0,0,2.19,0,4.37,2.19,0,48.09,0,0,0,9.84,5.46,0,1.09,8.74,1.09,1.09,3.28,2.19,0,7.65,1.09,4.37,61.2,0,7.65,6.56,0,1.09,15.3,0,0,0,0,0,1.09,1.09,0,0,2.19,0
108-118,0,0,1.53,0,5.36,0,0.77,33.7,0,0.77,0,6.13,0.77,0,0,1.53,3.06,0.77,2.3,1.53,0,6.89,0,2.3,81.19,0,3.83,5.36,0,0,7.66,0.77,0,0,0,0,3.06,1.53,0,1.53,0.77,0
120,0,0,0,0,5.88,3.92,0,33.32,0,0,0,0,0,0,0,1.96,0,0,7.84,0,0,9.8,0,0,43.12,0,1.96,5.88,0,1.96,1.96,0,0,0,0,0,1.96,0,3.92,0,0,0
