stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,790.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,404.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,10.51,0,10.51,0,0,0,23.66,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,210.3,10.51,0,0,57.83,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,15.73,0,0,0,37.76,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,179.38,3.15,0,0,94.41,0,3.15,3.15,6.29,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,9,3,0,5,0,0,0,0,0,1,1,0,0,0,0,0,0,8,0,2,58,2,0,2,1,1,0,11,2,0,11,25,0,0,0,0,0
 24-34,0,0,0,0,4.93,0,0,12.31,0,0.82,0,4.1,0,0,0,0,0.82,0,0.82,0.82,0.82,14.78,0,2.46,119.02,0,3.28,0.82,0,3.28,0,0,0,0.82,2.46,29.55,0,0,4.1,0,0.82
 36-46,0,0,0,0,0.81,0.81,0,13.7,0,0,1.61,4.03,0,0,0,0.81,0,0,0,0,0,16.92,0,3.22,99.9,1.61,0,0,0,0.81,0,0,0,0.81,0,26.59,0,0,2.42,0,0.81
 48-58,0,0,0,0,1.72,0,0,33.28,0.57,0,0,9.75,0,0,0,0,0,0.57,0,0,0,23.53,2.3,1.15,87.22,0,0,1.72,0,1.15,0,0,0,0,0,20.08,0,0,1.72,0,0
 60-70,0,0,0,0,0,0.98,0,45.15,0,1.96,0,6.87,0.98,0,0.98,0.98,0,0,0,0,1.96,16.69,0.98,1.96,63.8,0,0,0.98,0,2.94,0,0,0,0,0,7.85,0,0,0,0,0
 72-82,0,0,0,0,3.93,1.96,0,49.08,0,0,1.96,12.76,0.98,0,0,1.96,0,0.98,0.98,0,0,28.47,0.98,1.96,99.15,0,0.98,0.98,0,0,0,0,0,0,0,4.91,0,2.94,4.91,0.98,0.98
 84-94,0,0,0,0,3.19,1.06,0,37.17,0,0,1.06,8.5,0,0,0,3.19,0,1.06,1.06,0,0,15.93,1.06,2.12,42.48,0,0,2.12,0,10.62,0,0,1.06,0,0,9.56,0,2.12,2.12,1.06,0
 96-106,0,0,0,0,4.37,1.09,0,31.69,0,1.09,0,7.65,4.37,0,0,6.56,1.09,0,1.09,1.09,0,20.76,0,5.46,31.69,0,1.09,2.19,0,8.74,0,0,0,0,0,0,1.09,0,3.28,3.28,1.09
108-118,0,0,0,0,3.06,3.83,0.77,19.15,0,0.77,0.77,3.06,0,0,0.77,1.53,3.83,0,0,0.77,0.77,14.55,0.77,3.83,36,0.77,0,2.3,0,4.6,0,0,0.77,0,0,1.53,0,0,0.77,0,0.77
120,0,0,1.96,0,1.96,3.92,0,15.68,0,1.96,1.96,0,0,0,0,3.92,0,1.96,0,0,0,11.76,0,7.84,37.24,0,0,1.96,0,7.84,0,0,0,0,0,3.92,0,0,5.88,0,1.96
