stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,7.89,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,0,44.06,3.15,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,2,26,0,1,0,0,1,0,3,0,0,0,0,0,4,15,0,0,1,0,15,1,1,0,2,5,0,0,1,0
 24-34,0,0,0.82,0,19.7,1.64,1.64,3.28,0.82,0.82,0,0.82,0.82,0,3.28,0,0,6.57,12.31,0,0.82,0,0,27.91,0,0,0.82,0,2.46,0,0,2.46,0
 36-46,0,0,0,0,7.25,0,0.81,0,0,0,0,0,1.61,0,5.64,0,0.81,1.61,12.89,0,1.61,0,0,23.36,0,0,0,0,2.42,0,0,2.42,0
 48-58,0,0,0,0,2.3,0,2.87,0,0,1.15,0,0,1.72,0,3.44,0,0,0.57,6.89,0,1.15,0,0,8.03,0,0,0.57,0,0,0,0,2.3,0
 60-70,0,0,0.98,0,4.91,0,2.94,0,0,0.98,3.93,0,0.98,0,0.98,0,0,0.98,2.94,0,0,0,0,12.76,0,0,0,0,0.98,0,0,1.96,0
 72-82,0,0,8.83,0,9.82,0,2.94,0,0.98,3.93,19.63,3.93,4.91,0,3.93,0,0,0.98,12.76,0.98,1.96,0,0,10.8,0,0,0,0,0,0.98,0,6.87,0
 84-94,0,0,10.62,0,48.85,1.06,1.06,3.19,0,0,11.68,13.81,11.68,0,5.31,0,0,1.06,4.25,0,1.06,0,0,44.61,0,0,1.06,0,0,3.19,0,1.06,0
 96-106,0,0,9.84,1.09,57.92,0,5.46,2.19,0,7.65,46.99,8.74,12.02,0,4.37,1.09,1.09,0,6.56,0,6.56,0,0,19.67,1.09,0,0,0,0,5.46,0,1.09,1.09
108-118,0,0,8.43,1.53,81.96,0,0.77,7.66,0,3.06,44.43,11.49,11.49,0,6.13,0,0,0,7.66,0,1.53,0.77,0,30.64,0,0,0,0,0,6.13,0.77,1.53,0
120,0,0,0,0,78.39,0,0,1.96,0,3.92,29.4,5.88,3.92,1.96,1.96,1.96,1.96,0,1.96,0,1.96,0,0,13.72,0,0,0,0,0,5.88,0,1.96,0
