stage,blastomeres,endocrine_pancreas,epidermis,eye,fast_muscle,fin_mesenchyme,glial,gut,immune,iridophores,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,8.21,0,1.64,5.75,0,0,0.82,0,0.82,0,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,12.09,0,0,20.95,0,0,0,0.81,0,0,0,0,0,0,0
 48-58,0,0,1.15,3.44,0,0,0.57,0,0,0,0,10.9,0,0.57,14.92,0,0,0,0,0,1.72,0,0,0,0,0
 60-70,0,0,2.94,15.7,0,0,0.98,0,0,0,0,19.63,0,0,21.59,0.98,0,0,0,0,0.98,0,0,0,0,0
 72-82,0,0,4.91,23.56,0.98,0,1.96,0,0,0,0,68.72,0,0,30.43,0,0.98,0.98,0,0,0.98,0.98,0.98,0.98,0,0.98
 84-94,0,1.06,4.25,15.93,0,1.06,3.19,0,0,0,0,37.17,0,0,12.74,0,0,5.31,0,0,1.06,0,0,0,0,0
 96-106,0,0,6.56,20.76,1.09,1.09,1.09,2.19,0,1.09,1.09,57.92,0,1.09,22.95,2.19,1.09,2.19,0,0,0,0,0,0,1.09,0
108-118,0,0,11.49,18.38,0,0,3.83,0.77,0.77,0,0,69.7,0.77,0.77,22.98,0,0,2.3,0,0,2.3,0,0.77,0,0,0
120,0,0,5.88,7.84,1.96,0,0,1.96,0,0,0,45.08,0,1.96,13.72,0,0,0,0,0,0,0,0,0,0,0
