stage,blastomeres,epidermis,eye,fast_muscle,glial,gut,immune,ionocyte,lateral_line,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.26,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,12.59,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,2,0,0,0,0,0,0,0,0,0,5,0,0,1,7,0,2,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,0,0,6.57,0,0,0,0,0,0,1.64,0.82,0,0
 36-46,0,0,2.42,0,0,0,0,0,0,0,0,13.7,2.42,0,0,0,0.81,0,2.42,0.81,0,0
 48-58,0,0,4.02,0,1.15,0,0.57,0,0,1.15,0.57,17.21,0.57,0,0,0,0,0,1.72,0,0,0.57
 60-70,0,0,3.93,0.98,0,0,1.96,0,0,0.98,0,2.94,1.96,0,0,0,0,0,0,0,0,0
 72-82,0,0.98,3.93,0,0.98,0,0.98,0,0,0,0,7.85,0.98,0,0,0,0,0,0.98,0.98,0,0
 84-94,0,0,3.19,0,1.06,0,1.06,0,0,0,0,6.37,0,0,0,0,0,0,0,0,1.06,0
 96-106,0,0,4.37,0,0,0,0,1.09,0,1.09,0,2.19,0,0,0,0,0,0,0,0,0,0
108-118,0,0,1.53,0,0,0,3.06,0,0.77,1.53,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,1.96,0,1.96,1.96,3.92,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0
