stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,21.03,0,0,44.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.24,0,0,0,28.92,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,22.03,15.73,0,0,122.73,0,0,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,1047.94,3.15,0,0,330.43,0,3.15,3.15,6.29,0,0,9.44,0,0,0,0,0
 14-21,0,2,41,6,2,0,5,0,86,1,0,0,0,0,0,3,0,51,0,0,8,480,4,0,2,92,0,2,21,0,0,25,1059,0,0,0,0,0
 24-34,0,4.93,39.4,0.82,9.85,0,31.19,1.64,87.83,0,0,4.1,0.82,0,0,14.78,0,171.56,0,0,16.42,596.76,7.39,0,6.57,0,0,7.39,0.82,0,3.28,44.33,320.13,0,0,0.82,0,0
 36-46,0,0.81,13.7,0,8.06,3.22,34.64,7.25,49.15,0,0,10.47,0,0,0.81,12.89,0.81,136.16,0.81,0,27.39,319.85,3.22,0,2.42,0,0.81,4.03,0.81,0,4.03,0.81,102.32,0,0,0.81,0,0
 48-58,0,0,17.21,0,13.77,4.02,44.76,18.94,57.38,0,0,8.61,0,0,1.72,13.2,0.57,199.11,0,2.3,42.46,108.45,2.87,0,1.72,0,0.57,4.02,0,0,5.74,0,61.4,0,0.57,0,0,1.15
 60-70,0,0,14.72,0,16.69,1.96,44.17,43.19,82.45,0.98,0,9.82,0,0,1.96,13.74,0,365.13,0,4.91,38.28,44.17,2.94,0,1.96,0,1.96,3.93,0,0,5.89,0,33.37,0.98,2.94,0,1.96,0
 72-82,0,0,25.52,0.98,40.25,9.82,50.06,52.03,96.2,0,0,11.78,0,0,0,4.91,0,516.35,0,1.96,53.99,44.17,0,1.96,4.91,0,4.91,5.89,0,0,0.98,0,0,0.98,4.91,10.8,4.91,0.98
 84-94,0,0,53.1,2.12,41.42,7.43,79.65,43.54,66.91,0,0,8.5,0,1.06,1.06,3.19,0,407.82,2.12,3.19,33.99,22.3,2.12,0,1.06,0,7.43,13.81,0,0,5.31,0,13.81,6.37,11.68,4.25,4.25,0
 96-106,0,1.09,60.11,0,37.16,8.74,76.5,53.55,51.36,1.09,0,28.41,0,3.28,1.09,2.19,1.09,401.07,1.09,4.37,31.69,37.16,1.09,3.28,9.84,0,5.46,20.76,0,0,7.65,0,1.09,1.09,10.93,10.93,8.74,0
108-118,0,0.77,51.32,0,17.62,9.19,107.23,40.6,36.77,1.53,0,7.66,0.77,0,0,3.83,0,343.92,0.77,2.3,30.64,29.11,0,1.53,3.83,0,5.36,14.55,0,0.77,9.19,0,3.83,4.6,3.83,11.49,8.43,1.53
120,0,0,37.24,0,17.64,3.92,66.63,43.12,43.12,1.96,0,5.88,0,1.96,0,0,0,278.29,0,1.96,21.56,19.6,0,1.96,1.96,0,7.84,21.56,0,0,0,0,0,0,5.88,9.8,7.84,0
