stage,axial,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,hatching_gland,heart,immune,iridophores,mesenchyme,mural_cell,muscle,neural,paraxial_mesoderm,pericytes,periderm,spinal_cord,xanthophores
  3-4,13.18,382.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,220.67,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,0,0
  7-9,2.63,0,5.26,0,0,0,0,2.63,0,0,0,0,0,0,36.8,18.4,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,18.88,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,1.64,0,0,3.28,0,2.46,3.28,0,0,1.64,0.82,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,4.83,0,4.03,1.61,0,0,0,0,0
 48-58,0,0,0,0,1.72,1.72,0,0,0,0,0,4.59,0,2.3,1.72,0,0,0,0.57,0
 60-70,0,0,0,0.98,0.98,0,0,0,0,0,0,7.85,1.96,0.98,0.98,0,0,0,0,0
 72-82,0,0,0,0,0.98,0,0,0,0.98,0,0,4.91,0,0,1.96,0,0.98,0,0,0.98
 84-94,0,0,0,0,2.12,0,0,0,0,0,0,4.25,1.06,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,1.09,0,0,0,1.09,0,0,0,0,0,0,0,1.09,0,0,0
108-118,0,0,0,0,0.77,0,0,0,0,0.77,0.77,1.53,0,1.53,0,0,0.77,0,0,0.77
120,0,0,0,0,0,0,1.96,0,0,0,0,7.84,0,0,1.96,0,0,0,0,0
