stage,axial,blastomeres,epidermis,erythrocytes,mesenchyme,muscle,neural,paraxial_mesoderm,presomitic_mesoderm,somites,spinal_cord
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0
  5-6,12.26,85.81,0,0,0,0,6.13,6.13,0,0,0
  7-9,0,0,0,0,0,0,15.77,13.14,0,0,0
 10-12,0,0,0,0,0,0,9.44,3.15,0,0,0
 14-21,0,0,3,3,4,5,0,1,3,3,1
 24-34,0,0,0.82,0,0,0.82,0.82,0,0,0,0
 36-46,0,0,0,0,1.61,0,0,0,0,0,0
 72-82,0,0,0,0.98,2.94,0,0,0,0,0,0
 84-94,0,0,0,1.06,3.19,0,0,0,0,0,0
 96-106,0,0,0,0,9.84,0,0,0,0,0,0
108-118,0,0,0.77,0,9.19,1.53,0.77,0,0,0,0
120,0,0,0,0,7.84,0,0,0,0,0,0
