stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,7.89,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,78.86,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,9.44,0,3.15,0,0,15.73,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,147.91,9.44,0,0,62.94,0,0,0,0,6.29,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,17,8,11,0,0,0,5,3,2,2,0,0,0,0,0,0,15,0,0,17,201,3,1,0,6,0,2,0,18,1,11,36,86,0,0,2,0,0
 24-34,0,0,1.64,6.57,0.82,47.61,0,0,0,13.13,0,0,0,0,0,0,0.82,1.64,0.82,45.97,0,0.82,18.06,698.55,2.46,4.93,2.46,0,0,3.28,0,0,0.82,6.57,14.78,196.18,0,0,12.31,0,0
 36-46,0,1.61,0,1.61,0.81,58.01,1.61,0,2.42,18.53,0,0,0.81,0,0,0,1.61,0,0,41.09,0,0.81,8.86,881.4,0,15.31,4.83,0,0,0.81,0,0,0.81,2.42,1.61,250.56,0,0,7.25,0,0.81
 48-58,0,0,0,4.02,0.57,156.07,1.72,0.57,2.3,49.92,0,0,1.72,0.57,0.57,0,0,0,0.57,65.99,0.57,0,13.77,815.95,0.57,12.05,1.72,0,0,3.44,0,0,1.15,2.3,0,214.03,0,0,5.74,0,1.15
 60-70,0,0,0,3.93,0,337.64,1.96,0,0.98,77.54,0.98,0,0,0.98,0,0.98,0.98,0,0,91.28,0,6.87,7.85,880.43,0,9.82,3.93,0,0,1.96,0,0,0,0,0,167.84,0,0,5.89,0,2.94
 72-82,0,0,0,10.8,0.98,391.68,0.98,2.94,2.94,81.48,1.96,0,2.94,0,0.98,0,0,0,0.98,132.52,0,3.93,9.82,616.48,0,15.71,19.63,0,0.98,0.98,0,0,1.96,0,0,76.57,1.96,1.96,7.85,4.91,0.98
 84-94,0,0,0,14.87,1.06,248.52,3.19,1.06,4.25,57.35,0,0,0,5.31,0,0,1.06,0,4.25,105.14,0,1.06,10.62,329.23,0,13.81,10.62,0,0,3.19,0,0,4.25,3.19,0,40.36,0,0,5.31,2.12,1.06
 96-106,0,0,0,14.21,2.19,225.13,2.19,6.56,4.37,52.46,3.28,0,1.09,7.65,0,1.09,5.46,2.19,4.37,68.85,1.09,3.28,5.46,272.12,0,19.67,27.32,0,0,1.09,0,0,0,5.46,0,24.04,5.46,3.28,2.19,4.37,1.09
108-118,0,0,0.77,16.09,1.53,163.92,3.83,2.3,2.3,51.32,0,0,0,3.83,1.53,3.06,1.53,0,0.77,72.77,0,1.53,2.3,325.53,0.77,13.79,13.79,0,0.77,2.3,0.77,0,0.77,1.53,0,16.85,3.83,0.77,6.13,0.77,0.77
120,0,3.92,0,7.84,0,121.51,1.96,1.96,0,52.91,1.96,0,1.96,0,1.96,0,1.96,0,0,66.63,0,1.96,5.88,352.76,1.96,13.72,19.6,0,0,5.88,0,0,5.88,1.96,0,23.52,1.96,1.96,1.96,1.96,0
