stage,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.44,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,25.18,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,2,0,3,0,0,18,3,0,0,0,0,0,0,0,0,0,6,0,1,3,0,0,0,1,18,0,69,0,0,0
 24-34,0,0,0,0.82,1.64,0,17.24,0,0,0,0,0,0,0,0,0,0,9.03,0,9.85,1.64,0,0,0,0,13.13,1.64,45.97,0,0,0
 36-46,0,0,0,0,0.81,0,11.28,0,0,0,0,0,0,1.61,0,0,0,21.75,0,5.64,0,0,0,0.81,0,4.83,0,29,0,0,0
 48-58,0,0,0,0.57,4.59,0,13.77,0,0,0,0,0,0,10.33,0.57,0,0.57,20.66,0.57,6.89,1.15,0,0,0,0,1.72,0,30.41,0,0,0
 60-70,0,0,0,0,0.98,0.98,11.78,0,0,0,0,0,0,0.98,0,0,0,8.83,0,9.82,1.96,0,0,0,0,0,0,12.76,0,0,0
 72-82,0,0.98,0,0,6.87,0,18.65,0,0,0,0,1.96,0,8.83,0,0,0,40.25,0,7.85,1.96,0,0,0,0,0,0,18.65,0,0,0.98
 84-94,0,0,0,0,8.5,0,2.12,0,0,0,0,1.06,0,2.12,0,0,0,9.56,1.06,5.31,7.43,0,0,0,1.06,2.12,0,4.25,0,1.06,0
 96-106,0,0,0,0,4.37,0,13.11,0,1.09,1.09,0,8.74,1.09,5.46,0,1.09,0,10.93,1.09,6.56,10.93,0,0,0,0,0,0,7.65,0,0,0
108-118,0,0,0,1.53,3.83,0,11.49,1.53,0,0,0.77,0.77,0,2.3,0,0,0,12.26,0,8.43,6.13,0,0.77,0.77,0,0.77,0,6.13,0,0,0
120,0,0,0,1.96,0,0,0,0,0,3.92,0,1.96,0,3.92,0,0,0,17.64,0,7.84,9.8,0,0,0,0,1.96,0,5.88,1.96,0,0
