stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,6.13,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,7.89,0,0,0,5.26,0,0,0,0,0,0,0,0,26.29,0,0,0,13.14,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0,25.18,0,0,0,15.73,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,2,0,1,11,0,0,0,0,0,0,3,0,0,0,0,1
 24-34,0,0,0,1.64,2.46,0,4.93,0,0.82,0,0,0.82,0,0,0,0,8.21,0,0,40.22,0.82,0,1.64,0,4.93,0,8.21,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,12.09,0,2.42,0,0,0,0,0.81,0,0,4.83,0.81,1.61,65.26,0.81,1.61,0,0,3.22,0,12.89,0,0,0,0,0
 48-58,0,0,0,0,1.15,0,18.36,0,4.02,0,0,0.57,0,0,0,0.57,7.46,0,1.15,47.63,0,0.57,0.57,0,2.3,0,15.49,0,0,1.15,0,0
 60-70,0,0,0,0,0.98,0,14.72,0,5.89,0,0,0,0,0,0,0,13.74,0,0.98,36.32,0,1.96,0,0,6.87,0,6.87,0,0,1.96,0,0.98
 72-82,0,0,0,0,3.93,0.98,21.6,0,8.83,0,0,0,0.98,0,0.98,0,10.8,0,0.98,36.32,0,0.98,0,0,4.91,0,5.89,0.98,0.98,1.96,0.98,0
 84-94,0,0,0,0,2.12,0,8.5,0,5.31,0,0,0,1.06,0,0,0,3.19,1.06,1.06,16.99,1.06,0,0,0,7.43,0,3.19,0,0,1.06,0,0
 96-106,0,0,0,0,3.28,0,5.46,1.09,4.37,1.09,0,0,0,0,0,0,5.46,0,0,13.11,0,3.28,1.09,0,6.56,0,0,0,0,0,0,0
108-118,0,0,0.77,0,1.53,0,3.83,0,3.83,0,0,0,1.53,0.77,0,0,3.83,0,1.53,9.19,0,0.77,0.77,0,4.6,0,0,0.77,0,0,0,0
120,0,0,0,0,5.88,0,3.92,0,0,1.96,0,0,0,1.96,0,0,1.96,0,3.92,15.68,0,0,1.96,0,5.88,0,0,0,0,0,0,0
