stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,vasculature,xanthophores
  7-9,5.26,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0.82,2.46,3.28,0,0,0.82,0,0.82,0,0,0
 36-46,0,0,0,0,0,1.61,0,0,0,0,0,8.06,7.25,0,0,0.81,0,0,0.81,0,0
 48-58,0,0.57,0,3.44,0,0,0,0,0.57,1.15,0,8.61,8.61,0,0,0,0,0,1.15,0,0
 60-70,0,0,0,35.33,0,1.96,0,0,0,0,0,39.26,6.87,0,0,0,0,0,0,0,0
 72-82,0,0,0,54.97,0,0.98,0,0,0,1.96,0,53.01,25.52,0,0,0,0,0,0.98,0,0.98
 84-94,0,1.06,0,30.8,0,6.37,1.06,0,0,1.06,0,25.49,11.68,0,0,0,1.06,0,3.19,0,0
 96-106,0,0,0,38.25,1.09,3.28,0,1.09,0,0,0,22.95,25.14,1.09,0,0,0,0,1.09,0,0
108-118,0,1.53,0.77,36,0,3.06,0,0,0,0,0,27.57,13.02,0,0,0.77,0,0,0,0.77,0.77
120,0,0,0,19.6,1.96,0,1.96,0,0,0,0,21.56,11.76,0,0,0,0,0,0,0,0
