stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.94,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,23,0,0,3,0,0,0,0,0,1,0,0,0,0,4,0,1,17,0,0,0,0,0,0,1,19,0,0,0,0
 24-34,0,0,5.75,0,0,5.75,0,0,0,0,0,0.82,0,0,0.82,0.82,16.42,0,0.82,38.58,0,0,0,0.82,0,0,0,22.98,0,0,0,0
 36-46,0,0,0,0,0,31.42,0,0,0,0.81,0,0.81,0,0,0,0,4.03,0,0,70.09,0,0,0,0,0,0,0,37.06,0,0,0,0
 48-58,0,0,0,0,0,118.2,0,0,0,2.3,0,1.15,0.57,0,0,0,8.03,0.57,0,137.71,0,0,0,0,0,0,0,33.85,0,0,0,0.57
 60-70,0,0,0.98,0,0,261.08,0.98,0,0,9.82,0,0,0,0,0,0.98,8.83,0,0.98,163.91,0,0,0,0,0,0,0,15.7,0,0,0,0
 72-82,0,0,0.98,0,0,423.1,0,0,2.94,38.28,0,1.96,0,0,0.98,0.98,26.5,0.98,0.98,147.25,0,0.98,1.96,0,0,0,0,19.63,0,1.96,0,0.98
 84-94,0,0,10.62,1.06,0,245.33,0,2.12,0,25.49,0,1.06,1.06,1.06,1.06,3.19,15.93,0,1.06,89.21,0,0,0,0,0,2.12,0,2.12,1.06,2.12,1.06,0
 96-106,0,1.09,9.84,0,1.09,206.55,0,1.09,0,22.95,2.19,3.28,0,0,0,0,16.39,0,1.09,77.59,2.19,0,0,0,1.09,2.19,0,1.09,1.09,0,0,0
108-118,0,0,6.89,0,0,163.92,0.77,0,0,14.55,0,0,0,0,0,0.77,7.66,0.77,0,91.15,0.77,0,0,0,0,1.53,0,0,0,0.77,1.53,0
120,0,0,5.88,0,0,133.27,0,0,1.96,7.84,0,0,0,0,0,0,3.92,0,3.92,88.19,0,0,1.96,0,0,0,0,5.88,0,3.92,0,0
