stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,15.73,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,9.44,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,1,0,0,10,79,4,0,0,0,25,0,2,40,0,0,0,1,0,0,0,5,45,1,0,18,5,16,1,0,0,4,3,10,0,0,22,0,0,0,0,0
 24-34,0,0,0,13.13,136.26,0,0,6.57,0,96.86,2.46,13.95,33.66,0,0.82,0,0,0,0.82,2.46,8.21,57.46,0,0,22.98,44.33,53.36,2.46,0,0,15.6,0,24.63,1.64,0.82,41.86,0,0,0.82,0,6.57
 36-46,0,0,0.81,0.81,41.89,0,0,16.11,0.81,58.81,17.72,11.28,12.09,0,1.61,0,0.81,0,0,4.03,2.42,112.79,0.81,8.86,18.53,71.7,45.12,4.83,0,0,9.67,0,10.47,0.81,0,36.26,0,0,0,0,4.83
 48-58,0,0,0.57,1.15,26.4,0,0,41.89,0,64.84,32.71,5.74,4.59,0,0,0,0,1.15,0,1.72,5.74,154.93,0.57,8.61,23.53,148.04,35,2.3,0.57,2.3,6.31,0,2.87,0,0,29.84,0,0.57,0,0.57,1.72
 60-70,0,0,0,0,34.35,0,0,164.9,0,53,52.02,20.61,13.74,0,0,0.98,4.91,5.89,0.98,3.93,2.94,176.67,0.98,13.74,21.59,350.4,25.52,1.96,1.96,0.98,9.82,0,1.96,0,0,56.93,0,3.93,0.98,2.94,4.91
 72-82,0,0,5.89,0.98,45.16,0,0,335.73,0,55.95,58.9,24.54,12.76,0.98,1.96,1.96,2.94,0,0,1.96,5.89,181.61,0,22.58,31.41,414.26,14.72,9.82,3.93,0.98,14.72,0,0,0.98,0,48.1,0.98,8.83,0.98,8.83,2.94
 84-94,0,0,5.31,4.25,101.96,0,0,254.89,0,103.02,49.92,18.05,15.93,0,5.31,1.06,7.43,4.25,2.12,10.62,8.5,133.82,0,21.24,14.87,209.22,25.49,3.19,2.12,0,36.11,0,1.06,0,0,35.05,3.19,4.25,2.12,12.74,2.12
 96-106,0,0,7.65,1.09,139.88,3.28,2.19,288.51,0,92.89,25.14,21.86,14.21,0,6.56,1.09,4.37,5.46,1.09,10.93,1.09,119.12,2.19,15.3,22.95,196.71,18.58,6.56,5.46,0,56.83,0,1.09,0,0,12.02,4.37,5.46,2.19,8.74,3.28
108-118,0,0,3.83,2.3,187.66,0.77,0.77,261.19,0,176.17,34.47,21.45,11.49,0,2.3,2.3,7.66,7.66,0,9.19,6.13,105.7,0.77,19.15,22.21,213.7,19.15,3.06,3.83,0.77,29.87,0,1.53,0,0,12.26,3.83,1.53,1.53,10.72,2.3
120,0,0,5.88,1.96,168.54,1.96,0,211.66,0,141.1,35.28,21.56,7.84,0,1.96,0,1.96,9.8,0,5.88,3.92,82.31,7.84,15.68,17.64,260.65,25.48,5.88,0,1.96,29.4,0,0,0,0,21.56,0,3.92,0,5.88,0
