stage,epidermis,eye,glial,ionocyte,mesenchyme,neural,olfactory,periderm,presomitic_mesoderm,spinal_cord
 14-21,1,0,0,0,0,3,1,0,1,1
 24-34,0,1.64,0,0,0.82,12.31,0,0,0,4.1
 36-46,0.81,0,0,0,0,16.11,0.81,0,0,3.22
 48-58,0,1.72,0.57,0,0,28.69,0,0,0,2.87
 60-70,0,6.87,0.98,0,0.98,67.73,0.98,0,0,10.8
 72-82,0,3.93,0,0,0,53.99,0,0.98,0,3.93
 84-94,2.12,5.31,1.06,1.06,0,31.86,0,0,0,4.25
 96-106,0,3.28,0,0,1.09,16.39,1.09,0,0,1.09
108-118,0,4.6,0,0,0,29.87,0,0,0,0.77
120,1.96,1.96,1.96,0,0,17.64,0,0,0,3.92
