stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,12.59,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,122.73,0,0,0,0,0,0,0
 14-21,0,0,23,55,20,0,0,0,10,0,1,8,0,0,0,0,0,0,0,0,19,0,0,9,7,10,0,0,5,0,17,2,8,0,2,0,0,2,0,0
 24-34,0,0.82,20.52,77.98,0,0,5.75,0,45.97,0,0,8.21,0,0.82,0,0.82,0,2.46,13.95,0,9.03,1.64,0.82,1.64,19.7,0.82,0,0.82,0,0,91.94,0,13.13,0,4.1,0,0,85.37,0,0
 36-46,0,0.81,8.86,174.83,1.61,0,27.39,0,33.03,6.45,2.42,27.39,0,4.03,0.81,6.45,1.61,12.89,24.98,1.61,87.01,3.22,10.47,24.98,103.93,0,6.45,4.03,0,0.81,98.29,0,25.78,0,27.39,0,0,128.1,0,1.61
 48-58,0,0,0.57,31.56,0,0,25.82,0,14.35,0,1.72,9.75,0,5.16,0.57,0,0,1.72,17.79,0.57,8.03,2.3,1.15,0.57,25.25,0,0.57,2.87,0,0,83.2,0,8.61,0.57,8.61,0,0.57,80.91,0,0.57
 60-70,0,1.96,0,52.02,0.98,0,51.04,0,19.63,3.93,4.91,35.33,0,0,0.98,12.76,0,16.69,44.17,0,106,2.94,5.89,4.91,56.93,0.98,6.87,0.98,0,0.98,61.84,0,22.58,0,13.74,0.98,2.94,65.76,0.98,3.93
 72-82,0,0.98,1.96,3.93,0.98,6.87,14.72,0,1.96,0.98,1.96,25.52,0,2.94,0,0,0,0.98,53.01,0,4.91,0.98,0,0,23.56,0.98,0.98,0,0,0,18.65,0,31.41,0,0.98,0,0,88.35,0,0
 84-94,0,3.19,7.43,6.37,0,4.25,12.74,0,1.06,1.06,1.06,42.48,0,1.06,1.06,0,0,1.06,227.28,0,2.12,0,2.12,1.06,18.05,0,0,0,0,0,31.86,0,74.34,0,1.06,0,1.06,65.85,1.06,0
 96-106,0,3.28,6.56,39.34,2.19,6.56,17.49,1.09,13.11,1.09,2.19,91.8,0,4.37,1.09,21.86,1.09,6.56,284.14,0,9.84,2.19,1.09,1.09,52.46,0,21.86,0,0,0,167.21,0,96.17,0,1.09,5.46,0,97.26,1.09,1.09
108-118,0,0.77,12.26,11.49,0.77,29.87,14.55,0,4.6,0,3.06,153.96,0,2.3,3.06,6.89,0,1.53,854.81,0,9.96,0,0.77,0.77,54.38,0.77,9.96,0,0,0,59.75,0,94.21,0,0.77,0,0,69.7,0,0
120,0,0,1.96,1.96,5.88,13.72,9.8,0,1.96,0,1.96,107.79,0,0,1.96,3.92,0,3.92,388.04,0,1.96,0,0,1.96,31.36,3.92,13.72,0,0,0,27.44,0,70.55,0,1.96,0,0,66.63,0,0
