stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,165.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,36.8,2.63,0,0,15.77,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,3.15,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,14,0,0,0,0,0,1,2,0,0
 24-34,0,0,0.82,0,1.64,0,0,0,0,0,0,0,1.64,0,0.82,33.66,0,0.82,0,0,0,0,2.46,0,0
 36-46,0,0,0,0,2.42,0,0.81,0,0,0,0,0,1.61,0,0.81,16.92,0,0.81,1.61,0,0,0,1.61,0,0
 48-58,0,0,0.57,0,4.02,0,0.57,0,0,0,0,0,1.72,0,0,9.18,0,0,0.57,0,0,0,0,0,0.57
 60-70,0,0,0,0,5.89,0,3.93,0,0.98,0,0,0,0.98,0,0.98,11.78,0,0,0,0,0.98,0,2.94,0.98,0
 72-82,0,0,0,0,6.87,0,1.96,0,0,0,0,0,2.94,0,0,7.85,0.98,0,0.98,0,0,0,0,0.98,0
 84-94,0,0,1.06,1.06,4.25,0,0,0,0,0,1.06,0,3.19,0,0,2.12,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,1.09,0,0,1.09,0,1.09,5.46,0,0,3.28,0,0,0,0,1.09,0,0,0,1.09
108-118,0,0,0,0,2.3,0.77,1.53,0,0,0,0,0,3.06,0.77,0,5.36,0,0,0.77,0,0,0,0,0,0
120,0,0,0,0,0,0,1.96,1.96,0,0,0,0,1.96,0,0,5.88,0,1.96,0,0,0,0,0,0,0
