stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,heart,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,0,0,0,57,1,0,0,0,41,0
 24-34,0,0,0,0,4.1,0,0,0,0,0,2.46,1.64,0.82,401.4,0,0,0.82,0.82,165.81,0.82
 36-46,0,0,0.81,0,27.39,0,0,0.81,0,0,0,11.28,0,381.08,0,0,0,2.42,218.34,0
 48-58,0,0,0.57,0,20.08,0.57,0,2.87,0,0,0,8.61,0,125.09,0,0,0,0,44.76,0
 60-70,0.98,0,0,0.98,16.69,0,0,4.91,0,0.98,0,6.87,0.98,45.15,0,0,0,0,10.8,0
 72-82,5.89,0,0,0,10.8,0,0,5.89,0.98,0,0,6.87,0,36.32,0,0,0.98,0,3.93,0
 84-94,2.12,0,0,1.06,4.25,0,2.12,7.43,0,1.06,0,7.43,0,32.92,0,0,0,0,1.06,0
 96-106,4.37,0,2.19,1.09,8.74,0,0,3.28,0,0,1.09,12.02,0,16.39,0,0,0,1.09,2.19,1.09
108-118,3.83,0,0.77,0,4.6,0,0,7.66,0,3.06,0.77,5.36,0,24.51,0,0.77,0,0,0,0
120,1.96,1.96,0,0,0,0,0,5.88,0,0,0,5.88,0,13.72,0,0,0,1.96,0,0
