stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,9.44,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,136,0,6,0,0,0,0,0,0,1,1,116,0,0,0,0,0
 24-34,0,0,5.75,0,4.1,0.82,0,10.67,0,0,0,1.64,0,0.82,0,0,0,0,1.64,3.28,7.39,0,0,1.64,846.3,0.82,48.43,1.64,0,0,1.64,0,0,0,1.64,353.79,0,0,2.46,0,0
 36-46,0,0,3.22,0,7.25,0,0,35.45,0,0.81,0,4.03,0,0.81,0,0,0,0,0,6.45,8.06,0,0,2.42,1709.63,0,69.29,1.61,0,0,0.81,0,0,0,0,475.34,0,0,1.61,0,1.61
 48-58,0,0,2.87,0,9.75,1.15,0,215.75,1.15,0,1.15,21.23,0.57,0.57,0.57,0,0.57,0,0,8.03,16.07,0.57,0.57,1.72,2357.76,0.57,32.71,1.72,0,0,3.44,0,0,1.15,0,452.16,0,0,2.3,0,2.3
 60-70,0,0,2.94,0,6.87,0.98,0,756.75,0,0.98,1.96,45.15,4.91,0.98,0.98,0.98,0.98,0,0,3.93,31.41,0,0.98,0.98,3520.72,0,45.15,1.96,0,0,6.87,0,0,0,0,461.32,0,1.96,2.94,0,0
 72-82,0,0,18.65,0,37.3,3.93,0,1545.14,0,1.96,7.85,93.26,6.87,0.98,4.91,1.96,0.98,0.98,1.96,5.89,53.01,0,0.98,3.93,4068.01,0.98,82.46,0.98,0,0,2.94,0,0,0,0,306.28,0.98,0.98,2.94,0,2.94
 84-94,0,0,9.56,0,57.35,2.12,0,940.97,1.06,2.12,1.06,94.52,7.43,1.06,4.25,1.06,5.31,1.06,0,8.5,55.23,0,2.12,3.19,2160.18,1.06,50.98,6.37,0,0,7.43,0,1.06,0,0,196.48,5.31,3.19,3.19,6.37,0
 96-106,0,0,14.21,1.09,40.44,12.02,3.28,892.86,3.28,4.37,2.19,85.24,7.65,3.28,2.19,2.19,3.28,0,1.09,13.11,56.83,1.09,1.09,3.28,2001,0,110.38,4.37,0,1.09,19.67,2.19,0,2.19,0,84.15,7.65,4.37,4.37,2.19,4.37
108-118,0,0,10.72,0,26.81,3.83,1.53,679.41,3.06,3.06,1.53,73.53,6.13,0,2.3,1.53,2.3,0,3.83,9.19,28.34,1.53,0.77,4.6,2117.12,0.77,58.98,3.06,0,1.53,6.13,0,2.3,0,0,65.11,9.19,0,5.36,3.06,1.53
120,1.96,0,5.88,0,45.08,5.88,1.96,668.29,1.96,5.88,3.92,94.07,7.84,0,3.92,1.96,1.96,0,3.92,1.96,48.99,1.96,1.96,15.68,2757.42,1.96,56.83,5.88,0,3.92,3.92,0,0,0,0,125.43,1.96,0,5.88,3.92,1.96
