stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,368.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0,0,0
  5-6,147.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.33,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308.4,0,0,0,6.29,0,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,1,6,435,0,0,3,0,2,0,0,8,0,0,0,9,0,3,0,0,5,2,0,33,0,14,22,0,0,81,1,1,2,0,1,3,0,0,0,0,0
 24-34,0,0,21.34,272.52,0,0,3.28,0,15.6,0,0.82,14.78,0,0,0.82,13.95,0,13.95,4.1,0,27.91,13.95,0.82,59.92,0,66.49,47.61,0,0,224.09,0,0,5.75,0,0,7.39,0,0,0,0,0
 36-46,0,0,7.25,118.43,0,0,7.25,0.81,19.34,0,0.81,28.2,0,0,0,5.64,0,5.64,5.64,0.81,14.5,2.42,0.81,74.12,0.81,42.7,29.81,0,0,244.92,0.81,0,5.64,0,0,4.03,0,0,0,0,0
 48-58,0,0,5.74,135.99,0,0,28.12,0,18.36,0,1.72,45.9,1.72,1.15,0.57,3.44,0,9.75,3.44,0,13.2,8.03,1.15,57.38,0.57,26.97,13.2,0,0,202.55,0,0,4.02,0,0,5.16,0,0,0,0,0.57
 60-70,0,0,0.98,151.15,0.98,0,34.35,0,19.63,1.96,2.94,88.34,0,0,0,7.85,0,16.69,2.94,0,4.91,7.85,1.96,56.93,0.98,20.61,4.91,0,0,130.54,0,0,3.93,0,0,3.93,8.83,0,0,0,0
 72-82,0,12.76,0.98,160.01,0,0.98,40.25,0,11.78,0,3.93,193.39,0,0,0.98,18.65,0,33.38,3.93,0,13.74,11.78,1.96,59.88,0.98,35.34,20.61,0,0.98,119.76,0,0,1.96,0,0,2.94,45.16,0,0,1.96,0
 84-94,0,8.5,4.25,280.38,1.06,0,26.55,0,27.61,0,2.12,312.24,2.12,0,2.12,21.24,1.06,33.99,0,0,7.43,10.62,0,19.12,0,35.05,24.43,0,0,343.04,0,0,15.93,0,0,0,145.5,2.12,1.06,0,0
 96-106,0,8.74,6.56,298.35,5.46,0,25.14,1.09,25.14,0,5.46,413.1,0,0,2.19,33.88,0,64.48,2.19,0,10.93,19.67,0,88.52,1.09,57.92,28.41,0,0,288.51,0,0,13.11,1.09,0,1.09,208.73,0,0,1.09,0
108-118,0,5.36,13.02,281.11,0,1.53,12.26,0,62.81,1.53,3.06,384.51,0,0,2.3,32.94,0,24.51,4.6,0,5.36,15.32,0,61.28,0.77,36.77,13.79,0,0.77,422.05,0,0,13.02,0.77,0,0.77,225.96,0,2.3,0,0
120,0,5.88,3.92,197.94,0,0,13.72,0,35.28,0,0,182.26,0,0,0,19.6,1.96,21.56,1.96,0,5.88,11.76,1.96,54.87,0,35.28,5.88,0,0,211.66,0,0,7.84,0,0,0,74.47,0,0,0,0
