stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,7.89,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,3,3,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0.82,0.82,0,0.82,0,0,2.46,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0.81,0,0,0,0.81,1.61,0.81,0,0,0,0,0,0,0,0,0,0,0.81,0
 48-58,0,0,0,0,0,0,0.57,0,0,0,1.15,0,0,0,4.02,0,0,0.57,0,0.57,0,0,0,0,0,0,0.57,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,1.96,0,0,0,3.93,0,0,0,8.83,0,2.94,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,0,0,2.94,0,0.98,2.94,27.49,0,0,0,97.18,0,2.94,0,0,17.67,0,0.98,0,0,0.98,0,1.96,0,0,0,0,0.98,0
 84-94,0,0,0,3.19,1.06,0,4.25,0,0,2.12,67.97,0,0,0,351.53,0,4.25,0,0,7.43,0,0,0,0,3.19,0,1.06,0,0,0,1.06,0,0
 96-106,0,0,0,2.19,5.46,0,14.21,1.09,1.09,2.19,165.02,1.09,1.09,1.09,624.02,0,6.56,0,2.19,76.5,0,2.19,1.09,0,6.56,0,7.65,0,0,0,0,3.28,0
108-118,0,0,0.77,6.89,0.77,0.77,8.43,0,0.77,3.83,229.79,0,1.53,0,1291.41,0.77,10.72,0,0.77,68.17,0,0,0,0,1.53,0,1.53,0,0,1.53,0,0,0.77
120,1.96,0,0,1.96,0,0,1.96,0,0,1.96,168.54,0,0,0,666.33,0,1.96,0,0,58.79,0,3.92,0,0,1.96,0,1.96,1.96,0,0,0,0,0
