stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,visceral_smooth_muscle,xanthophores
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0
 14-21,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,54,0,0,0
 24-34,0,1.64,0,0,5.75,0,0,0,0,0,0,0,0,0,2.46,0,0,0.82,3.28,0.82,0,10.67,19.7,17.24,0.82,0,0
 36-46,0,0,0,0,12.09,0,0,0,0,0,0,0,0.81,0,1.61,0,0.81,4.03,8.06,0,0,27.39,28.2,2.42,3.22,0,0
 48-58,0,1.15,0,0,8.61,0,0,0.57,0.57,0.57,0,1.15,0,0,1.72,2.3,0.57,7.46,0.57,1.15,0,119.93,4.59,0,1.72,0,0.57
 60-70,0,0.98,0,0,9.82,1.96,0,0,0,0,0,1.96,0.98,0,0.98,1.96,0.98,4.91,2.94,0,0,236.55,3.93,0.98,0.98,0,0.98
 72-82,0,4.91,0.98,0,3.93,3.93,0,0,0,0,0.98,2.94,0,0,2.94,1.96,0,9.82,0.98,0,0,312.17,5.89,0.98,0,0,0
 84-94,0,19.12,4.25,0,6.37,6.37,0,0,0,0,0,13.81,0,1.06,1.06,7.43,0,3.19,10.62,1.06,0,1085.4,20.18,0,1.06,0,0
 96-106,0,40.44,1.09,0,15.3,16.39,2.19,1.09,0,0,1.09,20.76,0,0,4.37,16.39,0,10.93,14.21,2.19,0,1100.5,4.37,4.37,0,0,0
108-118,0,27.57,0,0.77,7.66,23.74,1.53,0.77,0,0,0,25.28,0,0,2.3,16.09,2.3,9.96,14.55,1.53,0,661.03,1.53,3.06,1.53,0.77,0
120,0,25.48,1.96,0,9.8,13.72,0,0,0,0,0,11.76,0,0,1.96,11.76,0,13.72,5.88,0,0,609.49,3.92,0,0,1.96,0
