stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,heart,immune,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,5.26,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,25,0,0,0,0,0,1,3,3,0,0
 24-34,0.82,0.82,0.82,0,0,9.03,0.82,0.82,0,0,0,0,0,6.57,0,1.64,68.13,0.82,0.82,0.82,0,3.28,0,0.82,17.24,3.28,0
 36-46,0,0,0.81,0,0,16.92,0,0,0,0.81,0.81,0,0,4.83,0,0,48.34,0.81,0,0,0,1.61,0,0,8.86,0,0
 48-58,0,0,1.15,0,0,14.35,0,0.57,0,0,0,0,0,4.02,0,0.57,20.08,0,0,0,0,0.57,0,0,3.44,0.57,0
 60-70,0,0,2.94,0,0,12.76,0,1.96,0,0,0.98,0,0,2.94,0,0,7.85,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.98,0,0.98,0,0,0,0,0,1.96,0.98,0,7.85,0,0,0.98,0,0.98,0,0,0,0,0
 84-94,0,0,0,0,0,4.25,0,0,0,0,0,0,0,2.12,0,1.06,3.19,0,0,1.06,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,3.28,0,0,1.09,0,1.09,1.09,1.09,1.09,0,0,3.28,0,0,0,0,0,0,0,0,1.09,1.09
108-118,0,0,0.77,0,0.77,3.06,0,0,0,0,0.77,0,0,3.06,0,0,11.49,0,0,0,0,0,0,0,0,0,0
120,0,0,0,1.96,0,0,0,0,0,0,1.96,0,0,1.96,0,0,3.92,0,0,0,0,0,0,0,0,0,0
