stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,830.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,508.76,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,15.77,5.26,0,18.4,0,0,0,42.06,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,257.61,5.26,0,0,107.78,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,40.91,0,3.15,0,34.62,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,317.84,12.59,0,0,166.79,0,0,3.15,3.15,22.03,0,3.15,0,0,0,0,0
 14-21,0,0,0,2,17,10,0,16,0,0,0,14,1,0,0,0,0,0,0,0,0,52,0,0,11,278,9,3,8,10,0,5,0,39,4,0,33,79,0,1,0,0
 24-34,0,0,0.82,4.1,10.67,0,0,66.49,0,0,0,23.8,0,0,0,0,0,0.82,4.1,0.82,0,60.74,0,0,27.09,515.5,0.82,5.75,4.93,0,0,5.75,0,0.82,2.46,0.82,7.39,119.02,0,4.1,0,1.64
 36-46,0,0,0,0,5.64,0.81,0,102.32,0,0,0,23.36,0,0,1.61,0,0,1.61,2.42,0.81,0.81,85.4,0,4.03,25.78,417.34,0.81,4.03,2.42,0,0,0.81,0,0,0.81,0,0,103.93,0,4.83,0,0
 48-58,0,0,0,0,4.02,1.15,0,100.42,0,0.57,1.15,15.49,0,0,0,0,0,0.57,0.57,1.15,0,81.48,0,7.46,6.31,142.3,0,1.15,1.72,0,0,1.15,0,0,0.57,0,0,36.15,0.57,1.15,0,1.15
 60-70,0,0,0,0,10.8,0,0,77.54,0,0,1.96,41.22,0.98,0,0,0.98,0,1.96,0,0.98,0,89.32,0.98,6.87,11.78,110.91,0,1.96,2.94,0,0,0.98,0,0,0,0,0,24.54,0.98,0.98,1.96,0.98
 72-82,0,0,0,0,6.87,0.98,0,32.39,0,0,2.94,36.32,0,0,2.94,0,0,0,0.98,0.98,0,129.58,0.98,6.87,10.8,111.91,0.98,3.93,6.87,0,0,0.98,0,0,0,0,0,11.78,4.91,1.96,0,0
 84-94,0,0,0,0,7.43,1.06,0,53.1,0,0,6.37,9.56,1.06,0,1.06,1.06,1.06,3.19,2.12,0,0,95.58,0,7.43,10.62,48.85,1.06,3.19,2.12,0,1.06,2.12,0,0,0,0,0,4.25,4.25,2.12,2.12,0
 96-106,0,0,0,0,4.37,1.09,1.09,24.04,1.09,1.09,1.09,21.86,2.19,0,2.19,2.19,1.09,0,2.19,0,0,64.48,1.09,3.28,6.56,56.83,3.28,3.28,6.56,0,1.09,1.09,0,0,0,1.09,0,8.74,4.37,2.19,2.19,0
108-118,0,0,0,0,5.36,3.83,0,22.98,0,1.53,2.3,14.55,0,0,0.77,1.53,0,1.53,0,0,0,67.4,0,3.06,8.43,81.96,0.77,2.3,3.06,0,3.06,6.13,0,0,0.77,0,0,3.06,1.53,2.3,3.06,0.77
120,0,0,1.96,0,9.8,1.96,1.96,37.24,1.96,0,0,17.64,1.96,0,1.96,1.96,0,1.96,1.96,0,0,45.08,1.96,5.88,5.88,56.83,3.92,0,3.92,0,0,0,0,0,0,0,0,1.96,1.96,3.92,0,0
