stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,2.63,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,3.15,0,0,6.29,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,8,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,2,11,0,1,0,1,0,1,3,1,0,5,10,0,0,1,0,0
 24-34,0,0,0,10.67,0.82,0,9.85,0,1.64,0,1.64,0,0,1.64,0,1.64,0,0.82,0,0,11.49,0,0,9.85,48.43,0,4.1,1.64,0,0,4.93,0,0,0,1.64,27.91,0,0,10.67,0,0
 36-46,0,0,0,5.64,0,0,12.89,0,0,0,12.89,0.81,0,0,0.81,1.61,0,0.81,0,0.81,21.75,3.22,0,13.7,78.96,0,5.64,3.22,0,0,12.89,0,0.81,0,0,16.11,0,0,8.86,0,0
 48-58,0,0,0,1.72,0.57,0,6.89,0,1.15,1.72,8.03,0,0,1.15,0.57,0.57,0,1.72,0,2.87,23.53,3.44,0.57,6.89,20.66,0,3.44,0,0,0,5.16,0,1.15,0,0,9.75,0,0,4.02,0,2.3
 60-70,0,0,0,5.89,0.98,0,5.89,0,2.94,0.98,20.61,0,0.98,0,0.98,0,0,0.98,0,1.96,56.93,3.93,0,4.91,18.65,0,4.91,0,0,0.98,7.85,0,0.98,0,0,8.83,0.98,0.98,9.82,0,2.94
 72-82,0,0,0,8.83,15.71,0,9.82,0,1.96,1.96,20.61,0.98,0,0.98,0,2.94,0,0.98,0,0,75.59,5.89,2.94,3.93,10.8,0,4.91,1.96,0,0.98,2.94,0,0,0,0,6.87,0.98,0,11.78,3.93,0.98
 84-94,0,0,0,8.5,5.31,1.06,4.25,0,3.19,0,5.31,0,1.06,2.12,1.06,0,0,1.06,0,1.06,37.17,3.19,2.12,2.12,14.87,2.12,0,1.06,0,0,10.62,0,1.06,0,0,2.12,1.06,1.06,13.81,0,0
 96-106,0,0,0,7.65,9.84,0,8.74,0,1.09,1.09,15.3,3.28,0,2.19,3.28,0,2.19,0,1.09,1.09,36.06,3.28,2.19,1.09,14.21,1.09,1.09,2.19,0,1.09,12.02,0,0,0,0,2.19,1.09,2.19,9.84,2.19,4.37
108-118,0,0,0,15.32,7.66,0,8.43,0.77,7.66,3.83,17.62,1.53,0,0,4.6,0.77,3.06,0.77,0.77,4.6,46.72,6.89,0.77,6.13,20.68,2.3,0,3.83,0,2.3,12.26,0,0,0,0,2.3,1.53,1.53,9.19,1.53,2.3
120,0,0,0,7.84,5.88,0,7.84,0,3.92,0,11.76,1.96,0,3.92,3.92,0,1.96,0,0,0,48.99,3.92,1.96,5.88,9.8,1.96,1.96,7.84,0,1.96,3.92,0,3.92,1.96,0,0,0,1.96,3.92,1.96,0
