stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,52.71,764.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,30.65,631.35,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.32,2.63,0,0,10.51,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0,5,0,0,0
 24-34,0,0,0.82,0,0.82,0.82,1.64,0,0.82,0,0,0,0,0,0,0,0,0,1.64,0,0,59.1,0,0,0,0,0,0.82,0,0,0,0.82,23.8,0,0.82,0
 36-46,0,0,0,0,0,0,2.42,0,8.06,0,4.03,0,0,0,0,0,0,0,0,0,0,198.19,0,0.81,0,0,0,0,0,0,0,0,47.53,0,0,0
 48-58,0,0,0,0,0.57,0,16.07,0,3.44,0.57,6.31,0,0,0,0,0,0,1.15,2.87,0,1.72,265.1,0,0,0,0,0,0,0,0.57,0.57,0,48.77,0,0,0
 60-70,0,0,0,0,0,0,74.6,0,4.91,0,11.78,0,0,0,0,0,0,2.94,12.76,0,0.98,494.69,0,0,0,0,0,1.96,0,0.98,0,0,71.65,0,0,0
 72-82,0,0,0.98,0,2.94,0.98,177.68,0.98,0,0,65.77,0.98,0,0,0,0,0,0,17.67,0.98,1.96,532.06,0,0.98,0,0,0,0,0,0,0,0,46.14,0,0,0
 84-94,0,0,1.06,0,2.12,1.06,99.83,0,6.37,0,40.36,0,0,3.19,0,1.06,0,0,10.62,2.12,0,284.63,0,0,0,0,0,0,0,0,0,0,28.68,1.06,1.06,0
 96-106,0,0,0,0,4.37,1.09,130.05,1.09,1.09,0,60.11,1.09,0,1.09,1.09,0,0,0,15.3,1.09,2.19,260.1,0,0,1.09,0,1.09,3.28,0,1.09,0,0,12.02,0,1.09,1.09
108-118,0,0,0,0,4.6,0.77,75.06,0.77,3.06,0,55.15,0,0,0,0,0.77,3.06,0,6.13,0,0.77,280.34,0,0,0,0,0,0.77,0,0.77,0,0,4.6,0.77,0.77,0
120,0,0,1.96,0,7.84,0,68.59,0,0,0,56.83,0,0,0,1.96,0,0,1.96,5.88,0,3.92,325.32,0,0,0,0,0,1.96,0,0,0,0,17.64,0,0,0
