stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature
 14-21,0,8,0,0,0,0,0,0,0,0,9,0,0,0,0,0,2,0,0,1,0,2,0,0,0
 24-34,0,0.82,2.46,0,0.82,0,0,0,0,0,30.37,0.82,0,0,0,0,13.95,0,0,0.82,0,5.75,0,0,1.64
 36-46,0,0,0,0,2.42,0,0,0,1.61,0,49.95,0,0,0.81,0,0,8.06,1.61,0,0,0.81,1.61,0,0,0
 48-58,0,0,1.15,0,6.31,0,0.57,0,1.15,0,52.79,0,0,1.15,0,0,20.66,0,0,0.57,0,2.3,0,0,0.57
 60-70,0,0.98,0,0,3.93,0,0,0,9.82,0,52.02,0,0,4.91,0,0,10.8,0,0,0,0,0,0,0,0.98
 72-82,0.98,0,0,0,5.89,0,0,0,27.49,0,88.35,0,0,15.71,0,0,18.65,0,0,0.98,0,0,0,0,1.96
 84-94,0,2.12,0,0,2.12,0,0,0,18.05,0,121.07,1.06,0,4.25,0,1.06,13.81,0,0,1.06,0,0,0,0,1.06
 96-106,0,3.28,0,0,5.46,0,0,1.09,8.74,1.09,137.7,0,0,5.46,1.09,0,12.02,1.09,1.09,2.19,0,1.09,0,1.09,4.37
108-118,0,0.77,0.77,0,6.13,0,0.77,0,22.98,0,99.58,0,0,6.13,0,0,14.55,0,0,0.77,0,0.77,0.77,0,1.53
120,0,0,0,1.96,1.96,1.96,1.96,0,23.52,0,107.79,0,1.96,3.92,0,0,11.76,0,0,1.96,0,0,0,0,0
