stage,endocrine_pancreas,endoderm,eye,glial,gut,mesenchyme,mural_cell,muscle,neural,olfactory,otic,pericytes,pronephros,spinal_cord
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,0,0,1,0
 24-34,0,0,0,0,0,1.64,0,0,1.64,0,0,0,0.82,0
 36-46,0,0,0,0,0,0.81,0,0.81,0,0,0,0,0,0.81
 48-58,0,0,0,1.72,0,0,0,0,1.15,0.57,0,0.57,0,0
 60-70,0,0,0,0.98,0.98,0.98,0,0,0,0,0.98,0,0,0.98
 72-82,0,0,0,1.96,0,0.98,0.98,0.98,0,0,0,0,0.98,0
 84-94,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0
 96-106,3.28,0,0,0,0,1.09,0,0,0,0,0,0,0,0
108-118,1.53,0,0.77,0.77,0,0,0,0,1.53,0,0,0,0.77,0
120,0,1.96,1.96,0,0,0,0,1.96,1.96,0,0,0,0,0
