stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,2,34,6,12,0,1,0,4,1,1,0,0,1,0,0,1,4,0,0,9,147,2,0,1,2,1,28,1,37,52,0,0,0,0,0
 24-34,0,0,2.46,2.46,0.82,9.03,0,0,0,2.46,0,0,0,0,0,0,2.46,0,5.75,0.82,0,2.46,87.83,0,1.64,0.82,0,2.46,0,0.82,0.82,14.78,0,0,4.1,0,0
 36-46,0,0,0,0.81,0,8.86,0.81,0,0,1.61,0,0,0,0,0,0.81,0.81,0,4.83,0,0,1.61,34.64,0.81,0,1.61,0,1.61,0,0,0,5.64,0,0,1.61,0,0
 48-58,0,0,0,2.3,0,22.38,0,0,0.57,6.89,0.57,0.57,1.15,1.15,0.57,0,0.57,0,7.46,0,0,3.44,58.53,0,0,1.72,0,1.72,0,0,0,11.48,0,0,0,0,0
 60-70,0,0,0,6.87,0,23.56,0,1.96,0,5.89,0.98,0,0,0.98,0.98,0,0,0.98,8.83,0,0.98,0.98,13.74,0,0,0.98,0,1.96,0,0.98,0,1.96,0,0,0.98,0,0
 72-82,0,0,0,4.91,1.96,54.97,0,0,0,12.76,1.96,0,0.98,1.96,1.96,0,1.96,0.98,27.49,1.96,0,2.94,59.88,0,2.94,3.93,0,0.98,0,0.98,0,3.93,0.98,0,0,0,0
 84-94,0,0,0,2.12,0,8.5,0,0,0,3.19,1.06,0,0,1.06,0,0,0,1.06,7.43,0,0,0,11.68,0,1.06,1.06,0,0,0,1.06,0,1.06,0,1.06,1.06,3.19,0
 96-106,0,0,0,6.56,0,5.46,0,0,0,1.09,3.28,0,0,0,1.09,1.09,0,3.28,8.74,0,1.09,1.09,12.02,0,2.19,3.28,0,1.09,0,0,0,0,0,0,0,1.09,0
108-118,0,0,0,3.06,0,8.43,0,2.3,0,3.06,0,0,0,0.77,2.3,0,0,6.89,6.13,0,0,0,20.68,0,1.53,3.06,0,3.06,0,0,0,0.77,0,1.53,0.77,0.77,0.77
120,0,0,0,7.84,1.96,3.92,0,3.92,0,3.92,3.92,0,0,1.96,3.92,0,0,1.96,3.92,0,0,0,5.88,1.96,0,0,0,3.92,0,0,0,0,0,0,0,0,0
