stage,erythrocytes,eye,immune,iridophores,liver,mesenchyme,neural
 14-21,0,0,0,0,0,0,1
 36-46,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,0,0,0.57
 60-70,0,33.37,0,0,0,0,0
 72-82,0,81.48,0.98,0,0,0,0.98
 84-94,0,67.97,0,0,0,0,0
 96-106,0,122.4,0,0,0,0,1.09
108-118,0.77,86.55,0,0.77,0.77,0.77,0
120,0,139.14,0,0,0,0,0
