stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,glial,hatching_gland,immune,ionocyte,mesenchyme,muscle,neural,otic,paraxial_mesoderm,pgc,pronephros,spinal_cord,vasculature
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,0,0,0,0,0,0,0,5.26,0,2.63,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,3.15,0,0,0,0,22.03,0,6.29,0,3.15,0,0
 14-21,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,1,0,1,1
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0,0,0,1.64,0.82
 36-46,0,2.42,0,0,0,0,0,0,0.81,0,0,0,3.22,0,0,0,0,1.61,0.81
 48-58,0,1.72,0,0,0,1.72,0,0,1.72,0,1.15,0.57,4.59,0.57,0,0,0,0.57,0
 60-70,0,0.98,0,0.98,0,0.98,0.98,0,2.94,0,2.94,0,21.59,0.98,0,0,0,0.98,0
 72-82,0,3.93,0,0,0,3.93,1.96,0,7.85,0.98,11.78,0,42.21,0,0,0,0,0,0
 84-94,0,2.12,0,0,0,3.19,2.12,0,11.68,0,8.5,0,22.3,0,0,1.06,0,1.06,1.06
 96-106,0,2.19,0,0,1.09,4.37,0,0,13.11,0,7.65,0,18.58,0,0,0,0,0,2.19
108-118,0,1.53,0,0.77,0.77,8.43,0.77,0,16.85,0,4.6,0,16.09,0,0,0,0,0,0.77
120,0,0,0,0,0,5.88,1.96,0,17.64,0,5.88,1.96,25.48,0,0,0,0,0,1.96
