stage,endocrine_pancreas,erythrocytes,exocrine_pancreas,eye,glial,gut,immune,liver,mesenchyme,muscle,neural,olfactory,taste,vasculature
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0.82,0,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0.81,0,0,0
 48-58,0,0,0,0,0.57,0,0,0,0.57,0,1.15,0,0,0.57
 60-70,0,0,0,0,0.98,0,1.96,0,0,0,0.98,0,0,0
 72-82,2.94,0,0,0,0,1.96,10.8,0,0,0,0.98,0,0.98,0.98
 84-94,0,0,0,0,0,1.06,12.74,0,0,0,1.06,1.06,0,1.06
 96-106,2.19,0,0,0,0,3.28,28.41,0,2.19,0,0,0,0,0
108-118,0,0,0.77,0,0.77,0.77,37.53,1.53,0.77,0.77,3.06,0,0,0
120,1.96,0,0,1.96,1.96,1.96,41.16,0,0,0,3.92,0,0,1.96
