stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,0,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,361.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,12.26,0,0,0,0,0,0,0,0
  7-9,2.63,7.89,0,10.51,0,0,0,28.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199.78,5.26,0,0,76.23,5.26,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.44,6.29,0,0,50.35,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,27,3,0,8,0,0,0,1,3,1,0,0,0,0,0,5,0,0,4,62,0,0,3,2,1,20,1,0,23,25,0,2,0
 24-34,0,0,0.82,0.82,4.93,0,0,5.75,0,0,0.82,0.82,0,0,0,0,0,0.82,0,5.75,0.82,0,4.1,47.61,0.82,2.46,0,0,7.39,0,0,0,1.64,18.06,0,2.46,0
 36-46,0,0,0,0,3.22,0,0,3.22,0,0,0,1.61,0.81,0,0,0.81,0,0.81,1.61,4.83,0,0,1.61,23.36,0,0.81,0.81,0,4.03,0,0,0.81,0,6.45,0,0.81,0
 48-58,0,0,0,0,0,0.57,0,13.77,0,0,1.72,1.72,0.57,0,0,0.57,0,0.57,0,1.72,0,0,0,32.71,0,0,0.57,0,1.72,0,0,0,0,2.87,0,2.3,0
 60-70,0,0,0,0,0.98,0,0,27.48,0,0,0,0.98,0.98,0,0,0.98,0,0,0,4.91,0,0,1.96,36.32,0,0.98,0.98,0,2.94,0,0.98,0,0,3.93,0,0.98,0
 72-82,0,0,0.98,0,2.94,0.98,0,102.09,0,0,0,5.89,0.98,0,0,0,0,0,0,5.89,0,0,0,43.19,0,0.98,1.96,0,1.96,0,0,0,0,3.93,0,1.96,0.98
 84-94,0,0,0,0,2.12,0,0,75.4,0,0,0,3.19,1.06,0,0,2.12,0,3.19,1.06,6.37,0,1.06,2.12,26.55,0,0,2.12,0,10.62,0,1.06,0,0,4.25,0,1.06,0
 96-106,0,0,1.09,0,4.37,1.09,0,101.63,1.09,1.09,0,5.46,4.37,0,0,1.09,1.09,1.09,2.19,7.65,0,0,0,29.51,0,3.28,3.28,0,9.84,0,1.09,0,0,2.19,0,3.28,0
108-118,0,0,0.77,0.77,3.06,0,1.53,63.57,0,0,0.77,1.53,3.06,0,1.53,1.53,0,0,0.77,3.83,0.77,0,0,23.74,0,0.77,1.53,0,4.6,0,0.77,0,0,3.06,0.77,0.77,0
120,0,0,0,0,1.96,0,0,41.16,0,0,1.96,3.92,0,0,0,0,0,0,1.96,3.92,0,0,0,9.8,0,0,3.92,0,0,0,0,0,0,0,0,0,0
