stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,12.59,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,6,2,1,0,0,0,1,0,0,1,0,2,0,0,0,0,4,0,0,1,54,0,0,1,1,0,0,0,4,1,0,2,42,0,0,7,0,0
 24-34,0,1.64,0,2.46,2.46,3.28,0,0,0,1.64,0.82,0,1.64,0,11.49,0,0,0,0,0.82,6.57,0,4.1,249.54,0,4.93,3.28,0,0,0,0,0,0,0,0,105.07,0,0,14.78,0,0
 36-46,0,0.81,0,0,0,29,0.81,0,0,3.22,0.81,0,0,0,5.64,0,0,0,0,4.83,4.83,0,0.81,657.43,0,3.22,2.42,0,0,0,0.81,0,1.61,0,0,171.61,0,0,8.06,0,0
 48-58,0,1.15,0,4.02,0,86.07,0,0.57,0,12.62,1.15,0,0,0.57,6.31,0,1.15,0,0,2.3,5.74,1.15,2.87,661.6,0,2.87,4.02,0,0.57,0,0,0,0.57,0.57,0,149.19,0,0,6.31,0,0
 60-70,0,5.89,0,4.91,0,279.73,1.96,0,0,19.63,8.83,0,0,1.96,3.93,0,2.94,0.98,0,5.89,5.89,0,1.96,1090.47,0,3.93,7.85,0,0,2.94,0,0,0.98,0,0,158.03,0,0,5.89,0.98,0
 72-82,0,10.8,0,9.82,0.98,373.03,0.98,0,0.98,35.34,34.36,0,0.98,1.96,10.8,0.98,1.96,0,0,21.6,14.72,0.98,3.93,638.08,0,3.93,17.67,0,0,1.96,0,0,0,0,0,78.53,0.98,0.98,7.85,3.93,1.96
 84-94,0,11.68,0,13.81,0,311.18,4.25,0,2.12,26.55,30.8,0,0,2.12,13.81,1.06,4.25,0,2.12,18.05,16.99,0,2.12,312.24,0,1.06,19.12,0,0,2.12,0,0,1.06,0,0,28.68,1.06,2.12,8.5,3.19,0
 96-106,0,7.65,0,29.51,2.19,344.25,1.09,0,0,32.79,50.27,0,0,1.09,9.84,1.09,13.11,4.37,3.28,28.41,8.74,1.09,3.28,271.03,0,3.28,21.86,0,0,8.74,1.09,0,0,1.09,0,18.58,0,0,8.74,6.56,4.37
108-118,0,2.3,0,32.17,0,238.21,6.13,2.3,0,16.09,55.15,0,0,2.3,16.09,0.77,2.3,0.77,11.49,24.51,11.49,0,3.06,320.94,0,1.53,16.85,0,0,3.06,0,0,3.06,0,0,7.66,2.3,1.53,7.66,3.06,3.06
120,0,5.88,0,15.68,0,264.57,5.88,0,0,41.16,56.83,0,0,0,21.56,3.92,7.84,1.96,7.84,23.52,5.88,1.96,3.92,256.73,0,1.96,17.64,0,0,11.76,0,0,0,0,0,9.8,1.96,1.96,13.72,5.88,0
