stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7,0,0,0
 24-34,0.82,0,0,5.75,0,0,0,3.28,0,0,0,0.82,0,0,0,1.64,0,0.82,158.43,0,0.82,0,0,0,0,60.74,0,0,0
 36-46,0,0.81,0,43.51,0,0,0,12.89,0,0,0,0,0,0,0,0,0,0,455.2,0,2.42,0,0,0.81,0,119.24,0,0,0.81
 48-58,0,1.15,0,124.52,0,0,0,22.38,0,0,0,0,0,0,0,1.15,0,1.72,475.11,0,1.15,0.57,0,0,0.57,113.61,0,0,0
 60-70,0,1.96,0,311.14,0,0,0,35.33,0,0,0,0,0.98,0,0,8.83,0,2.94,688.05,0,0,0,0.98,0,0,100.12,0.98,0,0
 72-82,0,4.91,0,247.38,0,0.98,0,36.32,0.98,0.98,0,0,0,0,0,5.89,0,1.96,412.3,0.98,2.94,0.98,0,0.98,0,46.14,0.98,0.98,0
 84-94,0,0,0,137,1.06,0,0,18.05,1.06,0,1.06,0,0,0,0,6.37,0,1.06,194.35,0,4.25,0,0,1.06,1.06,37.17,0,3.19,0
 96-106,0,0,0,116.93,0,1.09,1.09,15.3,0,0,0,0,0,1.09,2.19,5.46,0,0,137.7,0,1.09,0,0,1.09,0,9.84,0,0,0
108-118,0,3.83,0.77,70.47,0.77,0,0,12.26,0,0,0,0,1.53,0.77,0,5.36,0,0,163.92,0,0.77,0,0,0,0,6.89,0,0,0
120,0,5.88,0,115.63,0,0,0,25.48,1.96,0,0,0,1.96,0,0,5.88,1.96,3.92,307.69,0,3.92,0,0,7.84,0,11.76,0,0,0
