stage,blastomeres,epidermis,erythrocytes,eye,glial,lateral_line,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,10.51,2.63,7.89,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,12.59,3.15,3.15,0,0,0,0
 14-21,0,1,0,2,0,0,0,0,10,0,0,0,1,5,0
 24-34,0,0,0,0.82,0,0.82,0,0,7.39,0,0,0,0,0.82,0
 36-46,0,0,0,0,1.61,0,0.81,0.81,10.47,0,0,0,0,1.61,0
 48-58,0,0,0,1.72,0,0,0.57,0,3.44,0,0,0,0,0.57,0
 60-70,0,0,0,3.93,1.96,0,0.98,0,9.82,0,0,1.96,0,0,0
 72-82,0,0,0,2.94,0,0.98,0.98,0,7.85,0,0,0,0,0,0
 84-94,0,0,1.06,1.06,0,0,0,0,3.19,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,0,0,0,2.19,0,0,0,0,0,0
108-118,0,0,0,2.3,0,0,1.53,0,1.53,0,0,0,0,0,0.77
120,0,0,0,0,1.96,0,1.96,0,3.92,0,0,0,0,0,0
