stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,3,1,12,0,0,0,1,0,4,0,0,0,0,0,0,2,1,0,0,0,3,9,1,0,0,0,0,0,0,1,7,7,0,0,0,0,1
 24-34,0,0,5.75,9.85,0,4.1,0,0,0,0.82,0,1.64,0,0.82,0,0,1.64,0,7.39,0,0,2.46,47.61,0,0,0,0,0,0.82,0.82,0.82,3.28,5.75,0,0,2.46,0,0
 36-46,0,0,2.42,6.45,0,7.25,0.81,0,0,0.81,0,3.22,0,0,0,0,4.03,0,4.03,0,0,4.83,40.28,0,0.81,0.81,0,0,0.81,0,0,0,8.86,0,0,2.42,0,0.81
 48-58,0,0,0.57,10.9,0,11.48,0.57,0,0.57,2.3,0,0.57,0,0.57,0,0.57,3.44,0,13.77,0,0,1.72,41.31,0,0,0,0,0,0,0,0,0,5.74,0,0,2.3,0,0
 60-70,0,0,2.94,9.82,0,7.85,0.98,0,0,3.93,0,0.98,0.98,0,0.98,0,5.89,0.98,13.74,0.98,0,2.94,27.48,0,0,0,0,0,0,1.96,0,0,0.98,0,0.98,0.98,0,0.98
 72-82,0,0,0,24.54,0,16.69,1.96,0,0.98,4.91,0,1.96,0,0.98,0,0,4.91,0,29.45,0,0,2.94,24.54,0,0,0.98,0,0.98,0,0,0.98,0,0.98,0,0.98,0.98,0,0.98
 84-94,0,0,2.12,13.81,1.06,8.5,2.12,3.19,0,5.31,1.06,1.06,1.06,0,1.06,0,18.05,0,6.37,0,0,0,9.56,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0
 96-106,0,0,4.37,18.58,0,7.65,2.19,0,0,4.37,0,1.09,1.09,0,1.09,0,51.36,0,16.39,0,1.09,3.28,24.04,0,0,0,0,0,0,0,0,0,1.09,0,1.09,0,1.09,0
108-118,0,0,6.13,16.09,1.53,6.13,3.06,2.3,3.06,1.53,0.77,1.53,1.53,1.53,0.77,0,48.26,0.77,7.66,0,0.77,1.53,23.74,0,0,0,0,0,1.53,0.77,0,0,0,0,0,2.3,0,0
120,0,0,1.96,37.24,0,7.84,0,0,0,5.88,0,0,3.92,1.96,0,0,39.2,0,15.68,0,0,0,15.68,0,0,0,0,0,1.96,0,0,0,0,1.96,0,1.96,0,0
