stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 14-21,2,5,123,16,33,0,0,0,11,4,8,2,0,3,0,1,0,1,48,2,0,35,301,22,5,2,5,31,44,4,3,48,81,0,4,0,1
 24-34,0,0,9.03,4.93,49.25,0,1.64,0,4.93,0,0,0.82,4.1,0,0,0,0,0,22.16,0,0,8.21,281.55,0.82,0,4.1,0,10.67,0,0,0.82,3.28,60.74,0,1.64,0,0
 36-46,0,0,5.64,6.45,91.04,0,0,0.81,7.25,0,0,0,3.22,0.81,0,0,0,0,17.72,0,0.81,0.81,213.5,1.61,1.61,0.81,0,2.42,0,0,0,0,45.12,0,0.81,0,1.61
 48-58,0,0,4.02,5.74,109.02,0,0.57,0.57,5.16,0,0,0,0,0.57,0.57,0.57,0,0,19.51,1.15,1.72,5.16,102.14,0,0,1.72,0,1.72,0,0,0,0,13.77,0,1.72,0,0
 60-70,0,0,10.8,0.98,108.95,0,0,0,2.94,1.96,0,0,0,0,0,0,0.98,0,32.39,0.98,1.96,2.94,72.63,0.98,0,2.94,0,1.96,0,0,0,0,4.91,0,1.96,0,0
 72-82,0,0,1.96,2.94,46.14,0,0,0,5.89,0,0,0,0,0,0,0,0,0,15.71,0,0,1.96,29.45,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,1.06,5.31,31.86,0,1.06,0,5.31,3.19,0,0,0,2.12,0,0,1.06,0,14.87,0,3.19,3.19,20.18,0,0,1.06,0,0,0,0,0,0,0,0,1.06,1.06,0
 96-106,0,0,3.28,3.28,15.3,1.09,0,0,5.46,2.19,0,1.09,1.09,0,0,1.09,0,0,8.74,0,0,4.37,10.93,0,0,1.09,0,0,0,0,0,0,1.09,1.09,1.09,0,0
108-118,0,0,1.53,1.53,21.45,0.77,0,0,6.89,0,0,0,0.77,1.53,0,0.77,3.83,0,2.3,0,0,0.77,23.74,0.77,0,0,0,0,0,0,0,0,0,0,2.3,0,0
120,0,0,1.96,9.8,27.44,0,0,0,7.84,1.96,0,0,5.88,0,0,0,3.92,0,7.84,0,0,1.96,29.4,0,1.96,1.96,0,0,0,0,0,0,0,0,1.96,0,0
