stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,7.89,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,28.92,2.63,0,0,13.14,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,6.29,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,1,1,1,0,2,7,0,0,2,0,0
 24-34,0,0,0,0,2.46,0.82,2.46,0,0,0,0,0,0.82,0,0,0,0,0,5.75,0,0,1.64,20.52,0,0.82,0,0,3.28,0,0,0,9.03,0,0,0,0,0
 36-46,0,0,0,0,1.61,0,6.45,0,0,0.81,0,0,0,0.81,0,0.81,0,0,4.83,0.81,0,1.61,19.34,0.81,0.81,0,0,0.81,0,0.81,0,4.83,0,0,0,0,0.81
 48-58,0,0,0,0,1.15,0,10.33,0,0.57,0.57,0,0,0,0,0,0,0,0,2.87,0,0.57,0.57,13.77,0,0,1.15,0,0,0,0,0,1.72,0,0,0.57,0,0
 60-70,0,0,0,0,0.98,0,32.39,0,0.98,0.98,0,0,0.98,0,0,0,0,0,0.98,0,0,0.98,7.85,0,0.98,0.98,0,0,0,0,0,1.96,0,0,0,0,0
 72-82,0,0,0,0,1.96,0,53.99,0,0.98,9.82,0.98,0,0.98,0,0,0,0,0,9.82,0,0.98,0.98,18.65,0,0.98,0.98,0,0.98,0,0,0,0,0.98,0,2.94,0,0
 84-94,0,0,0,0,3.19,0,63.72,0,0,3.19,1.06,0,1.06,0,1.06,0,0,1.06,9.56,0,0,0,12.74,0,0,0,0,2.12,0,0,0,1.06,0,1.06,4.25,0,0
 96-106,0,0,0,0,4.37,2.19,68.85,1.09,0,1.09,0,0,4.37,0,0,0,1.09,0,6.56,1.09,0,0,6.56,0,1.09,6.56,0,0,0,0,0,0,0,0,2.19,0,1.09
108-118,0,0,0.77,0.77,3.06,0,49.02,0.77,0,3.06,1.53,0,3.06,0,1.53,0,1.53,0,9.19,0,1.53,0,5.36,0,0,3.83,0,2.3,0,0,0,0.77,0,0,1.53,0.77,0
120,0,0,0,0,1.96,0,103.87,0,1.96,1.96,0,0,1.96,0,1.96,0,0,0,3.92,0,0,0,19.6,0,0,0,0,3.92,0,1.96,0,0,0,0,1.96,0,0
