stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,6.29,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,8,4,3,0,0,0,38,0,0,0,18,0,0,0,9,1,0,4,48,0,2,6,2,0,0,0,8,26,1,8,91,0,7,0,0
 24-34,0,0,0,4.93,2.46,8.21,0,0.82,0.82,46.79,0.82,0,0,68.13,0,0,0,17.24,22.16,0,3.28,98.5,1.64,20.52,0.82,0,0,0.82,0,0,10.67,0,4.1,105.89,0,19.7,0,0
 36-46,0,0.81,0,4.03,0.81,9.67,0,0.81,0,33.03,0,0.81,0,41.89,0,0,0,22.56,12.09,0,4.03,91.04,0.81,15.31,1.61,0,0,0.81,0,0,11.28,0,0,76.54,0,10.47,0,0
 48-58,0,0,0,5.16,0,20.08,0.57,0,0.57,28.12,0.57,2.3,0,12.62,0,0.57,0.57,19.51,7.46,0,2.3,58.53,0.57,12.62,0,0,0.57,1.15,0,0,3.44,0,0,56.23,0,2.87,0.57,0.57
 60-70,0,0,0,5.89,0,34.35,0.98,2.94,0,49.08,0,0.98,0,11.78,0,0,0,24.54,3.93,1.96,2.94,56.93,0,7.85,0,0,2.94,2.94,0,0,1.96,0,0,34.35,0,4.91,1.96,0
 72-82,0,0,0.98,5.89,0,24.54,0,1.96,2.94,54.97,0.98,0.98,0.98,14.72,0,4.91,1.96,47.12,4.91,0.98,0.98,70.68,0,45.16,2.94,0,1.96,0,0,0,0.98,0,0,22.58,4.91,4.91,1.96,0
 84-94,0,1.06,2.12,11.68,1.06,23.36,0,1.06,0,45.67,0,0,1.06,10.62,1.06,2.12,0,35.05,11.68,0,4.25,33.99,0,27.61,5.31,0,5.31,5.31,0,0,6.37,0,0,23.36,4.25,5.31,3.19,0
 96-106,0,1.09,0,25.14,0,31.69,1.09,4.37,2.19,66.66,2.19,1.09,1.09,19.67,0,10.93,1.09,46.99,21.86,0,2.19,49.18,0,53.55,13.11,0,4.37,5.46,1.09,0,1.09,0,0,16.39,2.19,8.74,2.19,2.19
108-118,0,3.06,6.13,26.81,2.3,6.13,1.53,3.83,2.3,54.38,2.3,0.77,0,22.21,0,0.77,0,27.57,12.26,1.53,2.3,55.15,0.77,30.64,4.6,0,0.77,3.06,0,0,3.83,0,0,16.09,1.53,6.13,2.3,1.53
120,0,0,1.96,17.64,1.96,7.84,0,1.96,0,27.44,1.96,1.96,0,13.72,1.96,0,1.96,17.64,0,0,1.96,47.03,0,13.72,5.88,0,1.96,0,0,0,0,0,0,7.84,1.96,1.96,1.96,1.96
