stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,2,0,19,1291,31,0,36,0,6,0,21,29,19,6,0,13,0,1,0,2,302,3,0,333,570,311,2,51,20,0,8,1,202,18,45,395,312,0,0,11,0,0
 24-34,0.82,2.46,6.57,405.5,3.28,0,93.58,0.82,31.19,18.06,34.48,11.49,1.64,4.93,3.28,11.49,0,7.39,4.1,5.75,493.33,9.85,0,398.94,1007.19,146.11,13.13,28.73,0,0.82,34.48,0,4.93,11.49,4.1,100.14,302.08,0,0,64.85,0,5.75
 36-46,0,1.61,0,110.38,0.81,0,164.36,0.81,22.56,62.04,54.79,1.61,0,7.25,4.03,1.61,1.61,7.25,0,4.03,525.3,6.45,3.22,238.48,725.91,85.4,12.89,26.59,0,0,33.03,0.81,2.42,7.25,0.81,0.81,230.42,0,0.81,17.72,0,11.28
 48-58,0,0.57,0,67.14,0.57,0,178.45,2.3,26.4,49.35,75.74,1.72,0,5.16,5.16,2.3,2.87,6.31,2.87,1.15,714.96,6.89,9.18,128.53,397.07,52.22,5.74,36.15,0.57,1.72,16.64,0,0,2.87,1.15,0,121.65,0,2.3,13.77,0,9.75
 60-70,0,0.98,0,46.13,0,0,219.86,1.96,14.72,38.28,81.47,9.82,0,3.93,3.93,0.98,6.87,4.91,3.93,0,975.63,7.85,16.69,57.91,330.77,13.74,2.94,27.48,0,0,5.89,0,0,7.85,0,0,42.21,0,10.8,7.85,3.93,3.93
 72-82,0,9.82,0,32.39,8.83,1.96,192.41,1.96,9.82,51.05,101.11,63.81,0,5.89,7.85,2.94,4.91,18.65,11.78,0.98,1089.64,10.8,14.72,73.62,271.92,8.83,6.87,37.3,0,4.91,10.8,0,0,3.93,0.98,0,20.61,1.96,17.67,30.43,14.72,4.91
 84-94,0,3.19,0,77.53,8.5,3.19,157.18,1.06,14.87,30.8,46.73,129.57,0,5.31,21.24,4.25,8.5,7.43,48.85,3.19,817.77,3.19,24.43,32.92,145.5,13.81,7.43,41.42,0,4.25,11.68,0,0,7.43,1.06,0,18.05,3.19,16.99,20.18,14.87,5.31
 96-106,0,7.65,0,54.64,5.46,2.19,102.73,1.09,4.37,29.51,66.66,228.4,1.09,12.02,13.11,3.28,13.11,24.04,57.92,1.09,446.97,4.37,14.21,38.25,189.06,8.74,17.49,48.09,0,5.46,12.02,1.09,0,3.28,0,0,9.84,7.65,12.02,30.6,20.76,2.19
108-118,0,5.36,0.77,44.43,6.13,10.72,88.09,0,9.96,14.55,49.02,248.17,0,3.83,19.92,5.36,9.96,11.49,56.68,3.83,312.51,0.77,13.79,36,212.94,6.89,6.89,26.81,0.77,3.06,6.89,0,0,8.43,0.77,0,9.19,5.36,7.66,24.51,6.13,3.06
120,1.96,1.96,0,27.44,5.88,1.96,56.83,0,3.92,15.68,25.48,113.67,0,3.92,15.68,7.84,3.92,5.88,27.44,1.96,148.94,0,7.84,21.56,141.1,1.96,5.88,19.6,0,1.96,7.84,0,0,5.88,0,0,3.92,3.92,1.96,5.88,1.96,0
