stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,39.53,553.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,24.52,306.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,7.89,0,7.89,0,0,0,18.4,0,0,0,0,10.51,0,0,0,0,0,0,0,162.98,2.63,0,0,28.92,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,18.88,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,84.97,0,0,0,25.18,3.15,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,4,12,2,0,3,1,0,0,3,0,0,0,0,0,6,0,2,28,1,0,1,0,0,1,3,0,5,14,0,0,0,0
 24-34,0,0,0.82,0.82,7.39,0,0,0,0,0,0.82,0,0,0,0,2.46,0,5.75,0,3.28,65.67,0,3.28,5.75,0,0,0,0,0,0,21.34,0,0,0,0
 36-46,0,0,0,0.81,2.42,0,0,1.61,0.81,0,0,0,0,0.81,0,0,0,4.83,0.81,0,157.11,0,2.42,0.81,0,0.81,0,0,0,0,19.34,0,0,0,0
 48-58,0,0,0,0,5.16,0,0,14.92,0.57,0,1.72,0,0,0.57,0,1.15,0,12.05,1.72,2.87,263.95,0,3.44,0.57,0,0,0,0,0,0,26.97,0,0,1.15,0
 60-70,0,0,0,0,4.91,0,0,30.43,0,1.96,3.93,2.94,0,0.98,0,0.98,0,6.87,1.96,6.87,391.63,0,2.94,4.91,0,0.98,0,0,0,0,32.39,0,0.98,0,0
 72-82,0,0,2.94,0,4.91,1.96,0,44.17,0,0,3.93,0.98,0,0.98,0,1.96,1.96,18.65,0.98,1.96,464.33,0,5.89,3.93,0,0,0,0,0,0,31.41,0,3.93,0.98,3.93
 84-94,0,0,2.12,0,7.43,0,0,39.3,0,0,8.5,3.19,0,2.12,2.12,2.12,0,8.5,2.12,3.19,223.03,0,3.19,4.25,0,1.06,0,0,0,0,15.93,0,0,2.12,2.12
 96-106,0,0,1.09,0,12.02,1.09,0,29.51,0,0,1.09,6.56,0,5.46,1.09,3.28,2.19,9.84,4.37,0,240.43,0,7.65,6.56,0,0,0,0,0,0,6.56,0,2.19,2.19,2.19
108-118,0,0,0.77,0,10.72,0.77,0.77,18.38,3.83,0,6.13,5.36,0,3.06,1.53,4.6,0,13.79,0,0,227.49,0.77,3.83,7.66,0,0.77,0,0,0,0,3.06,0.77,0,0,0.77
120,0,0,0,0,13.72,0,0,19.6,3.92,0,1.96,5.88,0,7.84,0,3.92,1.96,7.84,1.96,0,260.65,0,0,0,0,0,0,0,0,0,5.88,0,0,1.96,1.96
