stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,lateral_line,liver,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,somites,spinal_cord,vasculature
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.3,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,18.4,0,0,2.63,0,18.4,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,3.15,0,0,0,0,0,9.44,0,0,0,0,9.44,3.15,0,0
 14-21,0,0,0,4,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,16,0,0,2
 24-34,0,0,0.82,1.64,0,0,0,0,0,0.82,76.34,0,0,0,4.1,0,0,0,0,1.64,0,0.82,5.75
 36-46,0,0,0,0,0,0,0,0,0,0,99.9,0,0,0,0.81,0,0,0,0,0,0,0,2.42
 48-58,0,0,0.57,0.57,0.57,0,0,0,0,0,64.27,0,0,0.57,1.15,0,0,0,0,0,0,0,2.87
 60-70,0,0,0,0,0.98,0,0,0,0,0,93.24,0,0,0.98,1.96,0,0,0,0,0,0,0,9.82
 72-82,0,0,0,7.85,3.93,0,0.98,0,0,0,197.31,0,0,4.91,4.91,0.98,0,0,0,0,0,0,26.5
 84-94,0,0,1.06,4.25,3.19,0,0,0,0,0,231.52,0,0,2.12,3.19,0,0,0,0,0,0,0,25.49
 96-106,0,0,0,3.28,3.28,0,0,1.09,0,0,293.98,0,1.09,3.28,6.56,0,1.09,0,0,1.09,0,0,29.51
108-118,0,0.77,4.6,6.13,2.3,0.77,1.53,0.77,0,0,260.43,0,0,1.53,3.83,0,0,0,0.77,0.77,0,0,20.68
120,0,0,7.84,5.88,1.96,0,0,0,0,0,266.53,1.96,0,0,5.88,0,0,0,0,0,0,0,27.44
