stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,fin_mesenchyme,glial,gut,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
 24-34,0,0,1.64,0,0,0,0.82,0.82,0,0,0,0,0,0,15.6,1.64,0,0,0,4.1,0,0,0
 36-46,0,0,0,0,0.81,0,1.61,0,0,0,0,0,0,0,43.51,5.64,0,0,0.81,3.22,0,0,0
 48-58,0,0,0,0,0.57,0,1.72,0,0.57,0,0,0.57,0,0,29.84,4.02,0,0,0,1.15,0,0,0
 60-70,0,0,0,0,2.94,0,2.94,0.98,0,0,0,0.98,0,0.98,55.95,8.83,0,0,0,1.96,0,0,0
 72-82,0,0,1.96,0,13.74,0,59.88,1.96,0,0,0,1.96,0,0,115.84,11.78,0,0,0,0.98,0,0,0
 84-94,0,0,1.06,0,9.56,0,25.49,0,0,0,1.06,0,0,0,55.23,9.56,0,1.06,0,0,0,1.06,0
 96-106,0,0,0,1.09,7.65,0,72.13,2.19,1.09,0,0,0,0,0,59.01,25.14,0,2.19,0,0,0,0,0
108-118,0,0,0,0,3.83,0,69.7,0,0,0.77,0.77,3.06,0.77,0,80.43,8.43,0,0,0,0,0.77,0,0.77
120,0,0,1.96,3.92,1.96,3.92,23.52,0,0,0,0,0,0,0,105.83,9.8,0,0,0,0,0,0,0
