stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,13,1,0,6,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,98,0,0,6,0,0,7,2,2,39,0,0,0,0,0
 24-34,0,0,1.64,0,3.28,0,0,14.78,0,1.64,0,11.49,0,0,0,0,0,0,0.82,0,4.1,0,0,2.46,262.67,4.93,0,12.31,0,0,25.45,5.75,0,76.34,0,0,0,0,0
 36-46,0,0,0,0,2.42,0,0,33.84,0.81,1.61,0,12.89,0,0,0,0,0,0.81,0.81,0,3.22,0,0,0,166.77,1.61,0,7.25,0,0,21.75,2.42,0,56.4,0,0,1.61,0,0
 48-58,0,0,0,0,1.15,0,0,35.58,0.57,0,0,19.51,0,0.57,0,0,0,0,0.57,0.57,10.9,1.72,0.57,0.57,86.64,4.59,0,3.44,0,0,13.77,1.15,0,30.41,0,0,0,0,0.57
 60-70,0,0,0.98,0,1.96,0,0,73.61,0.98,0,0.98,58.89,0,0,0,0,0,2.94,2.94,0,18.65,0.98,0,0.98,67.73,7.85,0,1.96,0,0,19.63,0.98,0,17.67,0,0,0.98,0,0
 72-82,0,0,0,0,4.91,0,0.98,67.73,3.93,0,0,77.55,1.96,0,0,0.98,0,2.94,0.98,0,25.52,1.96,2.94,4.91,66.75,2.94,0.98,10.8,0,0.98,14.72,0,0,10.8,2.94,2.94,1.96,1.96,0.98
 84-94,0,0,1.06,0,3.19,0,0,67.97,1.06,0,0,39.3,2.12,0,0,1.06,0,2.12,4.25,0,28.68,2.12,0,1.06,32.92,8.5,0,11.68,0,0,37.17,5.31,0,8.5,4.25,2.12,1.06,2.12,0
 96-106,0,0,0,1.09,5.46,1.09,0,50.27,1.09,1.09,0,60.11,4.37,0,1.09,2.19,1.09,7.65,2.19,0,24.04,2.19,1.09,1.09,43.71,3.28,2.19,8.74,0,0,27.32,0,0,13.11,8.74,2.19,1.09,1.09,1.09
108-118,0,0,0,0,6.89,0,0,48.26,0,0.77,0,55.92,3.83,0,0,0.77,0,2.3,6.89,0,26.81,2.3,0,2.3,37.53,4.6,0,7.66,0,0.77,26.04,1.53,0,6.13,21.45,1.53,1.53,0,0
120,1.96,0,0,1.96,7.84,1.96,0,41.16,3.92,1.96,0,39.2,1.96,0,0,0,0,1.96,3.92,0,19.6,0,1.96,1.96,64.67,0,1.96,5.88,0,0,25.48,0,0,9.8,9.8,1.96,0,0,0
