stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,36.78,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,5.26,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0.82,2.46,0,0.82,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,3.22,0,0,1.61,12.09,0,0,0,0,0,0,0,0.81,0,0,0,0,0
 48-58,0,0,1.15,0.57,0,17.21,0,0,0,2.87,0,0,0,0,0,0,0,0,26.4,0,0.57,4.59,37.87,0,0,0,0,1.15,0,0.57,8.61,0,0.57,0.57,0,0
 60-70,0,0.98,2.94,0,0,50.06,0,0,1.96,7.85,0,0.98,0.98,0,0,0.98,0,0.98,63.8,0.98,0.98,0.98,83.43,0,0.98,0,0,6.87,0,0,16.69,0,0.98,0,0,0.98
 72-82,0,0.98,13.74,15.71,0,94.24,0.98,0.98,2.94,20.61,3.93,0.98,0.98,2.94,0.98,1.96,2.94,0,148.23,0.98,2.94,5.89,171.79,0.98,2.94,0.98,0,20.61,0,0,19.63,1.96,0.98,6.87,2.94,3.93
 84-94,0,0,12.74,8.5,0,50.98,1.06,0,3.19,8.5,4.25,1.06,1.06,3.19,0,0,0,1.06,145.5,2.12,0,5.31,67.97,1.06,0,0,0,12.74,0,0,10.62,0,2.12,1.06,1.06,1.06
 96-106,0,2.19,20.76,7.65,0,57.92,1.09,2.19,4.37,26.23,4.37,3.28,9.84,3.28,1.09,1.09,1.09,0,146.44,4.37,1.09,6.56,80.87,1.09,3.28,2.19,2.19,26.23,0,0,4.37,3.28,5.46,10.93,2.19,0
108-118,0,0,14.55,9.96,4.6,53.62,2.3,2.3,3.06,21.45,4.6,0.77,2.3,3.06,0.77,1.53,2.3,0,145.53,0.77,0.77,8.43,147.83,0.77,2.3,4.6,1.53,18.38,0,0.77,2.3,1.53,1.53,4.6,2.3,1.53
120,0,0,13.72,3.92,5.88,23.52,1.96,3.92,5.88,15.68,1.96,0,0,5.88,0,0,0,0,135.23,0,1.96,5.88,117.59,0,0,0,0,7.84,0,0,1.96,0,1.96,5.88,0,1.96
