stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,gut,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord
  3-4,0,197.67,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0
  5-6,12.26,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,5.26,0,0,0,0,5.26,0,0,5.26,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,28.32,0,0,12.59,0,0,0,0
 14-21,0,0,0,0,0,0,0,2,1,6,1,0,0,0,1,1,2
 24-34,0,0,0,0,0.82,0.82,0,0.82,1.64,3.28,0,0,0,0.82,0,0,2.46
 36-46,0,0,0,0,0,0,0,1.61,0.81,4.03,0,0.81,0,0,0,0,0
 48-58,0,0,0,1.15,1.72,0,0,0.57,0,0.57,0,0,0,0,0,0,0.57
 60-70,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0.98,0,0,0
 72-82,0,0,0,0,0.98,0.98,0.98,0,0,0.98,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,1.06,0,1.06,0,0,0,0,0,0,0
 96-106,0,0,3.28,0,0,0,0,1.09,0,1.09,0,0,0,0,0,0,0
108-118,0,0,0.77,0.77,0,0,0,0,0,0.77,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,1.96,0,0,0,1.96,0,0,0
