stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,heart,immune,iridophores,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,7.89,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.93,0,0,0,0,0,0,0.82,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0.81,10.47,2.42,0.81,0,0,0,0,0,0.81,0,0
 48-58,0,0,0,1.72,1.72,0,0.57,0,0,0,0.57,0,1.15,0,17.21,1.15,0,0,0,0,0,0,1.15,0,0
 60-70,0,0,0.98,0.98,3.93,0,0,0,0,0,0.98,0,0.98,0,9.82,2.94,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,2.94,1.96,0.98,0,0,0,0,2.94,0,1.96,0.98,13.74,1.96,0.98,0,0,0,0,0,0.98,0.98,0
 84-94,0,0,0,9.56,7.43,0,0,0,0,0,1.06,0,5.31,0,10.62,0,1.06,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,3.28,9.84,0,1.09,1.09,0,0,5.46,0,1.09,3.28,6.56,1.09,0,2.19,0,0,1.09,0,0,1.09,0
108-118,0,0.77,0,3.06,2.3,0,0,0,1.53,0,2.3,0.77,0,2.3,4.6,3.83,0,1.53,0,0,0,0,0,0,1.53
120,0,0,1.96,0,3.92,0,0,0,0,1.96,3.92,0,5.88,0,9.8,1.96,0,0,0,0,1.96,0,0,1.96,0
