stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,mesenchyme,mural_cell,muscle,neural,olfactory,otic,pgc,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  7-9,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,0,0,0,6.29,0,0,0,0
 14-21,0,1,1,1,0,0,1,1,0,0,0,7,0,1,119,0,0,1,16,26,0,2,0
 24-34,0,0.82,0,0.82,0.82,0.82,2.46,1.64,0.82,0.82,0.82,31.19,0,0.82,202.75,0,0,0,0.82,53.36,0,8.21,0
 36-46,0,0,0,2.42,0,1.61,18.53,0,0.81,0,0,62.84,0,4.03,265.87,2.42,0,0,0.81,49.15,0,10.47,0
 48-58,0,0.57,0,4.59,0,0,21.23,0,1.15,0,0,93.53,0,1.15,138.29,1.15,0.57,0,0,34.43,1.15,4.02,0
 60-70,0,0,0,3.93,0,2.94,17.67,0,0.98,0.98,0,157.04,0.98,2.94,90.3,2.94,0,0,0,22.58,5.89,2.94,0
 72-82,0,1.96,0,5.89,0,1.96,14.72,0,1.96,0,0,148.23,0,0.98,44.17,1.96,0,0,0,11.78,2.94,11.78,1.96
 84-94,0,1.06,0,18.05,0,5.31,6.37,0,1.06,0,0,98.77,1.06,1.06,20.18,3.19,0,0,0,6.37,7.43,10.62,0
 96-106,0,4.37,0,3.28,0,2.19,2.19,0,0,0,0,74.31,0,0,12.02,2.19,0,0,1.09,2.19,3.28,12.02,1.09
108-118,0,0.77,0,3.83,0,3.83,4.6,0.77,0.77,0,0,58.21,0,0.77,15.32,3.06,0,0,0,0,2.3,9.96,0.77
120,0,0,0,3.92,0,0,3.92,0,0,0,0,60.75,0,0,15.68,3.92,0,0,1.96,0,0,3.92,0
